MDS1,MDS2,entity_id,canonical_metabolite,study_id,matrix_clean,mode_clean,phase_clean
0.018898215600078087,-0.5451668603040387,IK_XWBICGCZKGTPCH-MBNYWOFBSA-N,Prostaglandin M,24167579,serum,Positive,Reverse phase/C18
0.19374009166696077,-1.3491874409039635,IK_AGPKZVBTJJNPAG-UHFFFAOYNA-N,Isoleucine,37755270,serum,Not reported,Reverse phase/C18
0.12636523870556174,-0.551079358256325,IK_MFGALGYVFGDXIX-UHFFFAOYSA-N,"2,3-Dimethylmaleic anhydride",MTBLS11904,plasma,Positive,Reverse phase/C18
-0.25275458101121834,-0.4736678198434802,IK_LOAUVZALPPNFOQ-UHFFFAOYSA-N,2-Quinolinecarboxylic acid,MTBLS11904,plasma,Positive,Reverse phase/C18
0.01843544359959183,-0.4668005093830248,IK_CNUQZHQKEQFDPU-MDWZMJQESA-N,"2-Polyprenyl-6-methoxy-1,4-benzoquinone",MTBLS11904,plasma,Negative,Reverse phase/C18
0.05251138484102996,1.0029836511010417,UNKNOWN_ROW__35829770__unknown_455,unknown_455,35829770,plasma,Positive,HILIC
0.02483906053819802,0.0030116117880995877,IK_ALTAAUJNHYWOGS-UHFFFAOYSA-N,Trans-4-Hydroxycyclohexylacetic acid,MTBLS11904,plasma,Positive,Reverse phase/C18
-0.4307036313162389,0.1244449175586889,NO_INCHIKEY__pl,PL,MTBLS11904,plasma,Negative,Reverse phase/C18
0.23218133979140063,-0.09673282048107035,IK_ZGXJTSGNIOSYLO-UHFFFAOYSA-N,5-Aminolevulinic acid,MTBLS11904,plasma,Positive,Reverse phase/C18
0.037526806005947044,-1.376252287491157,IK_FJKROLUGYXJWQN-UHFFFAOYSA-N,4-Hydroxybenzoic acid,28880465,serum,Positive,LC-MS/unspecified
1.3496690814175665,0.28987228746585264,IK_TYQPBHYPIRLWKU-NKWVEPMBSA-N,"Inosine2,3",ST003159,serum,Negative,Reverse phase/C18
0.5469739160401178,0.06149357953592161,IK_PWFTYELYTFERRB-VPTTUCOCSA-N,Alpha-Trisaccharide,MTBLS11904,plasma,Positive,Reverse phase/C18
0.06790149164658499,-0.032914807919443186,IK_PFDUUKDQEHURQC-UHFFFAOYSA-N,3-Methoxytyrosine,MTBLS11904,plasma,Negative,Reverse phase/C18
1.6352188729690238,-0.050694062557218665,IK_LAGYWHSFHIMTPE-UHFFFAOYSA-N,Desmethylastemizole,24167579,serum,Positive,Reverse phase/C18
0.1348634321364597,0.8859359264717894,UNKNOWN_ROW__24167579__unknown_59,unknown_59,24167579,serum,Positive,Reverse phase/C18
0.10204584923161772,0.951540140340514,UNKNOWN_ROW__35829770__unknown_316,unknown_316,35829770,plasma,Positive,Reverse phase/C18
0.2883733876816236,-0.3222377790195457,IK_BYUOBSUZYQAFJM-UHFFFAOYSA-N,"6,8-Dihydroxypurine",28880465,serum,Positive,LC-MS/unspecified
0.14106153298487087,0.09483145596884898,IK_YVYMBNSKXOXSKW-UHFFFAOYSA-N,[3-[2-Aminoethoxy(hydroxy)phosphoryl]oxy-2-hydroxypropyl] hexadecanoate,MTBLS11904,plasma,Negative,Reverse phase/C18
0.0360299066974954,1.0782435203517473,UNKNOWN_ROW__24167579__unknown_7,unknown_7,24167579,serum,Positive,Reverse phase/C18
0.36785386239286905,-1.0180883349247214,IK_WWNNZCOKKKDOPX-UHFFFAOYSA-N,Trigonelline,33485385,plasma,Positive,LC-MS/unspecified
-0.08890185346891087,-0.8759749828613971,IK_PFWLFWPASULGAN-UHFFFAOYSA-N,7-Methylxanthine,MTBLS11904,plasma,Negative,Reverse phase/C18
0.09691364252813507,0.8699386933181433,UNKNOWN_ROW__24167579__unknown_51,unknown_51,24167579,serum,Positive,Reverse phase/C18
-0.6548434341380819,0.08938089852523319,IK_GRQPGTWGEQWMMM-IUXPMGMMSA-N,(E)-2-hydroxydoxepin,MTBLS11904,plasma,Positive,Reverse phase/C18
0.24227651459992278,0.03784046708304558,IK_REKYPYSUBKSCAT-UHFFFAOYSA-N,3-Hydroxyvaleric acid,38720721,serum,Not reported,Reverse phase/C18
0.19621731703006026,-0.3396920585288753,IK_YBOSYVPZRIDFAY-QSNZGGCFSA-N,"PC(P-16:0/20:5(5Z,8Z,11Z,14Z,16E)-OH(18R))",MTBLS11904,plasma,Positive,Reverse phase/C18
-0.4113418890512048,0.7761994397487,IK_NOOJLZTTWSNHOX-UWVGGRQHSA-N,Melanostatin,ST003159,serum,Positive,HILIC
-0.0782730172616189,-0.4733538619665856,IK_YAICYXFUKKMAKO-DBQWNMKUSA-N,6-allyl-8b-Carboxy-ergoline,MTBLS11904,plasma,Negative,Reverse phase/C18
0.42796718062086986,-0.39701585266987044,IK_VVEULVVIJNQTMD-OJZQPWLLSA-N,"DG(2:0/0:0/20:4(5Z,8Z,11Z,14Z)-OH(20))",MTBLS11904,plasma,Negative,Reverse phase/C18
0.03352430800714042,0.9083438498950438,UNKNOWN_ROW__35829770__unknown_263,unknown_263,35829770,plasma,Positive,Reverse phase/C18
0.08462852820214592,-0.44705854561100183,IK_LEBBDRXHHNYZIA-LDUWYPJVSA-N,Galactocerebroside,MTBLS11904,plasma,Negative,Reverse phase/C18
0.035625058440225954,-0.434033594509116,IK_BJRNKVDFDLYUGJ-RMPHRYRLSA-N,Arbutin,MTBLS11904,plasma,Negative,Reverse phase/C18
0.05387050124614067,1.0500497270486735,UNKNOWN_ROW__24167579__unknown_21,unknown_21,24167579,serum,Positive,Reverse phase/C18
0.17229826729969436,0.03872910760302952,IK_AKASWINDKIEEBO-ZJUUUORDSA-N,(+)-Rotundifolone,MTBLS11904,plasma,Negative,Reverse phase/C18
-0.17147775286894967,-1.0164117286129544,IK_DTERQYGMUDWYAZ-ZETCQYMHSA-N,N-epsilon-Acetyllysine,MTBLS11904,plasma,Positive,Reverse phase/C18
-0.303594674207717,-0.47616604991013506,IK_DYNKRGCMLGUEMN-YFKPBYRVSA-N,Parasorbic acid,MTBLS11904,plasma,Negative,Reverse phase/C18
-0.12605790826120272,-0.4168982441647096,IK_HJZMWAMKWAKZAR-NJSWGWQKSA-N,"PA(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z))",MTBLS11904,plasma,Positive,Reverse phase/C18
0.5757044955815639,-0.05334997519796521,IK_DMNOQQUULVKPTE-UHFFFAOYSA-N,"3,5-dihydroxy-4-(sulfooxy)benzoic acid",MTBLS11904,plasma,Negative,Reverse phase/C18
0.073261283305407765,-1.3353053799907835,IK_HNDVDQJCIGZPNO-YFKPBYRVSA-N,Histidine,38720721,serum,Not reported,Reverse phase/C18
0.11002962994819986,-0.44073116878964175,IK_KBUNOSOGGAARKZ-KRWDZBQOSA-N,3-Dehydrosphinganine,MTBLS11904,plasma,Positive,Reverse phase/C18
0.17588610620233955,-0.07408044210686761,IK_DTOSIQBPPRVQHS-PDBXOOCHSA-N,Linolenic Acid,33485385,plasma,Negative,LC-MS/unspecified
0.03975056632029532,0.9586568199324341,UNKNOWN_ROW__35829770__unknown_384,unknown_384,35829770,plasma,Positive,HILIC
0.005442900990059278,0.9209304448317134,UNKNOWN_ROW__35829770__unknown_313,unknown_313,35829770,plasma,Positive,Reverse phase/C18
-0.08484855205958716,-0.8666734503849514,IK_JYGXADMDTFJGBT-VWUMJDOOSA-N,Hydrocortisone,MTBLS11904,plasma,Negative,Reverse phase/C18
-0.03491970749329531,0.05677888940201706,IK_WKBALTUBRZPIPZ-UHFFFAOYSA-N,"2,6-Diisopropylaniline",MTBLS11904,plasma,Positive,Reverse phase/C18
0.9418603883668564,-0.05175241402508201,IK_GHCZAUBVMUEKKP-PNNZQWTHSA-N,chenodeoxycholic acid glycine conjugate,ACS1517,serum,Positive,Reverse phase/C18
0.0503136444865377,-0.2741395855425625,IK_FBUKVWPVBMHYJY-UHFFFAOYSA-N,Nonanoic acid,ST001814,plasma,Positive,GC-MS
0.07360113768864814,-0.3555684111121766,IK_UXFQDXABPXWSTK-ZDUSSCGKSA-N,10-formyldihydrofolate,24167579,serum,Positive,Reverse phase/C18
