"entity_id","canonical_metabolite","KEGG_ID","Pathway"
"IK_VZCYOOQTPOCHFL-OWOJBTEDSA-N","fumaric acid","C00122","Citrate cycle (TCA cycle)"
"IK_KDYFGRWQOYBRFD-UHFFFAOYSA-N","Succinic acid","C00036","Citrate cycle (TCA cycle)"
"IK_KHPXUQMNIQBQEV-UHFFFAOYSA-N","Oxaloacetate","C00036","Citrate cycle (TCA cycle)"
"IK_UFBJCMHMOXMLKC-UHFFFAOYSA-N","2,4-Dinitrophenol","C05379","Citrate cycle (TCA cycle)"
"IK_UFSCUAXLTRFIDC-UHFFFAOYSA-N","Oxalosuccinate2,3","C05379","Citrate cycle (TCA cycle)"
"IK_BJEPYKJPYRNKOW-UHFFFAOYSA-N","malic acid","C00149","Citrate cycle (TCA cycle)"
"IK_ODBLHEXUDAPZAU-UHFFFAOYSA-N","isocitric acid","C00311","Citrate cycle (TCA cycle)"
"IK_GTZCVFVGUGFEME-IWQZZHSRSA-N","cis-Aconitic acid","C00417","Citrate cycle (TCA cycle)"
"IK_GTZCVFVGUGFEME-UHFFFAOYSA-N","aconitic acid","C00417","Citrate cycle (TCA cycle)"
"IK_KRKNYBCHXYNGOX-UHFFFAOYSA-N","Citric Acid","C00158","Citrate cycle (TCA cycle)"
"IK_JFCQEDHGNNZCLN-UHFFFAOYSA-N","Glutaric Acid","C00026","Citrate cycle (TCA cycle)"
"IK_KPGXRSRHYNQIFN-UHFFFAOYSA-N","Oxoglutaric acid","C00026","Citrate cycle (TCA cycle)"
"IK_DTBNBXWJWCWCIK-UHFFFAOYSA-N","Phosphoenolpyruvate","C00074","Citrate cycle (TCA cycle)"
"IK_NOIIUHRQUVNIDD-UHFFFAOYSA-N","Nialamide","C01252","Tryptophan metabolism"
"IK_YGPSJZOEDVAXAB-QMMMGPOBSA-N","L-Kynurenine","C00328","Tryptophan metabolism"
"IK_YGPSJZOEDVAXAB-UHFFFAOYSA-N","Kynurenine","C00328","Tryptophan metabolism"
"IK_QIVBCDIJIAJPQS-VIFPVBQESA-N","Tryptophan","C00078","Tryptophan metabolism"
"IK_WNLRTRBMVRJNCN-UHFFFAOYSA-N","Adipic Acid","C00322","Tryptophan metabolism"
"IK_QAXHWUAAPKHMGA-UHFFFAOYSA-N","PI 36:4|PI 16:0_20:4","C03824","Tryptophan metabolism"
"IK_QCDYOIZVELGOLZ-UHFFFAOYSA-N","Salvigenin","C03824","Tryptophan metabolism"
"IK_QCGTZPZKJPTAEP-REDYYMJGSA-N","2-Aminomuconic acid semialdehyde","C03824","Tryptophan metabolism"
"IK_GJBXIPOYHVMPQJ-UHFFFAOYSA-N","3-hydroxyanthranilic acid","C00632","Tryptophan metabolism"
"IK_QZAYGJVTTNCVMB-UHFFFAOYSA-N","Serotonin","C00780","Tryptophan metabolism"
"IK_DUUGKQCEGZLZNO-UHFFFAOYSA-N","5-Hydroxyindole-3-acetic acid","C05635","Tryptophan metabolism"
"IK_UHDGCWIWMRVCDJ-XVFCMESISA-N","melatonin","C01598","Tryptophan metabolism"
"IK_OMYMRCXOJJZYKE-UHFFFAOYSA-N","6-Hydroxymelatonin","C05643","Tryptophan metabolism"
"IK_SEOVTRFCIGRIMH-UHFFFAOYSA-N","Indole-3-acetic acid","C00954","Tryptophan metabolism"
"IK_WHOOUMGHGSPMGR-UHFFFAOYSA-N","Indoleacetaldehyde","C00637","Tryptophan metabolism"
"IK_COCNDHOPIHDTHK-UHFFFAOYSA-N","Methoxyindoleacetic acid","C05660","Tryptophan metabolism"
"IK_WPYMKLBDIGXBTP-UHFFFAOYSA-N","Benzoic Acid","C00108","Tryptophan metabolism"
"IK_LLLPDUXGHXIXIW-UHFFFAOYSA-N","N-formylanthranilic acid","C05653","Tryptophan metabolism"
"IK_SIKJAQJRHWYJAI-UHFFFAOYSA-N","INDOLE","C00331","Tryptophan metabolism"
"IK_OTKJDMGTUTTYMP-ZWKOTPCHSA-N","Sphinganine","C00836","Sphingolipid metabolism"
"IK_AERBNCYCJBRYDG-KSZLIROESA-N","Phytosphingosine","C12144","Sphingolipid metabolism"
"IK_AERBNCYCJBRYDG-RGBJRUIASA-N","4-hydroxysphinganine","C12145","Sphingolipid metabolism"
"IK_HKVGJQVJNQRJPO-VTDDDATNSA-N","Demethyloleuropein","C01290","Sphingolipid metabolism"
"IK_KCUYLQDWSWOANO-JHXSWNAYSA-N","TG 46:1","C01290","Sphingolipid metabolism"
"IK_MJLXQSQYKZWZCB-AKNKGCNLSA-N","Linoelaidylcarnitine","C01290","Sphingolipid metabolism"
"IK_QXGVRGZJILVMDF-UHFFFAOYSA-N","Tetracosanedioic acid","C01290","Sphingolipid metabolism"
"IK_QYIXCDOBOSTCEI-KKFSNPNRSA-N","Epi-coprostanol","C01290","Sphingolipid metabolism"
"IK_QYTPGOPLNFESQC-NUTQULCTSA-N","PE(P-16:0/0:0)","C01290","Sphingolipid metabolism"
"IK_VOBYAKCXGQQFLR-LSJOCFKGSA-N","Ile Gly Val","C01290","Sphingolipid metabolism"
"IK_DFELABABMXOKTD-IYFIADHGSA-N","GlcCer(d18:1/20:0)","C01190","Sphingolipid metabolism"
"IK_WBIICVGYYRRURR-UHFFFAOYSA-N","3-(Aminomethyl)-2,5,9-trimethyl-7H-furo[3,2-g]chromen-7-one","C01190","Sphingolipid metabolism"
"IK_YGNHGXTZNFXTBH-GQCTYLIASA-N","5'-((Z)-Feruloyl) 3-(2'-methylarabinosylxylose)","C01190","Sphingolipid metabolism"
"IK_DUYSYHSSBDVJSM-KRWOKUGFSA-N","Sphingosine-1-phosphate","C01120","Sphingolipid metabolism"
"IK_YHEDRJPUIRMZMP-ZWKOTPCHSA-N","Sphinganine 1-phosphate","C01120","Sphingolipid metabolism"
"IK_KBUNOSOGGAARKZ-KRWDZBQOSA-N","3-Dehydrosphinganine","C02934","Sphingolipid metabolism"
"IK_MTCFGRXMJLQNBG-REOHCLBHSA-N","L-Serine","C00065","Sphingolipid metabolism"
"IK_MTCFGRXMJLQNBG-UHFFFAOYNA-N","Serine","C00065","Sphingolipid metabolism"
"IK_OAMCCJASDLMTOO-UHFFFAOYSA-N","3,4-Bis(7-chloroindol-3-yl)pyrrole-2,5-dicarboxylate","C00195","Sphingolipid metabolism"
"IK_OAQGPAZDRCBBLD-YTCWWFNZSA-N","17-phenyl-18,19,20-trinor-prostaglandin D2","C00195","Sphingolipid metabolism"
"IK_WWUZIQQURGPMPG-KRWOKUGFSA-N","Sphingosine","C00195","Sphingolipid metabolism"
"IK_LEBBDRXHHNYZIA-LDUWYPJVSA-N","Galactocerebroside","C02686","Sphingolipid metabolism"
"IK_AADLTHQNYQJHQV-SVLGDMRNSA-N","SM d38:1","C00550","Sphingolipid metabolism"
"IK_CGVOQSQIYSUXAT-PPLFXBRHSA-N","SM(d18:0/16:1(9Z))","C00550","Sphingolipid metabolism"
"IK_FONAXCRWZQFJHY-JCGOJSMZSA-N","SM(d18:0/22:0)","C00550","Sphingolipid metabolism"
"IK_HZCLJRFPXMKWHR-FEBLJDHQSA-N","SM(d18:1/12:0)","C00550","Sphingolipid metabolism"
"IK_JCCZCUUYYHWRGX-VGMNWLOBSA-N","Leucylhydroxyproline","C00550","Sphingolipid metabolism"
"IK_LKNPFOZIOWXDQS-UHFFFAOYSA-N","Dehydrochorismic acid","C00550","Sphingolipid metabolism"
"IK_NANHIUZYPFDGJS-UHFFFAOYSA-N","4-Decan-4-Ylbenzenesulfonic Acid","C00550","Sphingolipid metabolism"
"IK_UGQMRVRMYYASKQ-UHTZMRCNSA-N","Arabinosylhypoxanthine","C00550","Sphingolipid metabolism"
"IK_AURCBSWGPREGRQ-VGNRXBDKSA-N","3-O-Sulfogalactosylceramide (d18:1/20:0)","C06125","Sphingolipid metabolism"
"IK_CJGVDSGIQZDLDO-BMYWYRRPSA-N","3-O-Sulfogalactosylceramide (d18:1/16:0)","C06125","Sphingolipid metabolism"
"IK_GQQZXRPXBDJABR-XMDONHODSA-N","3-O-Sulfogalactosylceramide (d18:1/18:0)","C06125","Sphingolipid metabolism"
"IK_NWWJFMCCTZLKNT-UHFFFAOYSA-N","Dihydrothiazine","C06125","Sphingolipid metabolism"
"IK_NXJAXUYOQLTISD-UHFFFAOYSA-N","O-Glutarylcarnitine","C06125","Sphingolipid metabolism"
"IK_NTBDNAWCQLUDHG-CEGBOXLASA-N","PE P-36:4 or PE O-36:5","C04730","Sphingolipid metabolism"
"IK_NUDXOGPEQRPSKT-MVOZTAHOSA-N","FA 18:3 (y-linolenic acid)","C04730","Sphingolipid metabolism"
"IK_HDHQZCHIXUUSMK-UHFFFAOYSA-N","2,4-Quinolinediol","C04188","Cysteine and methionine metabolism"
"IK_TYEYBOSBBBHJIV-UHFFFAOYSA-N","2-Ketobutyric acid","C00109","Cysteine and methionine metabolism"
"IK_MTCFGRXMJLQNBG-REOHCLBHSA-N","L-Serine","C00065","Cysteine and methionine metabolism"
"IK_MTCFGRXMJLQNBG-UHFFFAOYNA-N","Serine","C00065","Cysteine and methionine metabolism"
"IK_FERIUCNNQQJTOY-UHFFFAOYSA-N","Butyric acid","C00073","Cysteine and methionine metabolism"
"IK_FFEARJCKVFRZRR-BYPYZUCNSA-N","L-Methionine","C00073","Cysteine and methionine metabolism"
"IK_KVXSPXCUAWCXEI-UHFFFAOYSA-N","(2S)-2-Amino-6-[(3-formylpiperidin-1-yl)amino]hexanoic acid","C00073","Cysteine and methionine metabolism"
"IK_KYICBZWZQPCUMO-PSALXKTOSA-N","SM(d18:1/14:0)","C00073","Cysteine and methionine metabolism"
"IK_BDKXLTOHYQEAIO-RSLHMRQOSA-N","L-Cystathionine - Isomer","C02291","Cysteine and methionine metabolism"
"IK_FFFHZYDWPBMWHY-VKHMYHEASA-N","Homocysteine","C00021","Cysteine and methionine metabolism"
"IK_ZJUKTBDSGOFHSH-WFMPWKQPSA-N","S-Adenosylhomocysteine","C00021","Cysteine and methionine metabolism"
"IK_FFEARJCKVFRZRR-UHFFFAOYNA-N","Methionine","C00019","Cysteine and methionine metabolism"
"IK_SXFSQZDSUWACKX-UHFFFAOYSA-N","2-Oxo-4-methylthiobutanoic acid","C01180","Cysteine and methionine metabolism"
"IK_MTCFGRXMJLQNBG-REOHCLBHSA-N","L-Serine","C00065","Cysteine and methionine metabolism"
"IK_MTCFGRXMJLQNBG-UHFFFAOYNA-N","Serine","C00065","Cysteine and methionine metabolism"
"IK_LCTONWCANYUPML-UHFFFAOYSA-N","Pyruvic Acid","C00022","Cysteine and methionine metabolism"
"IK_LEVWYRKDKASIDU-IMJSIDKUSA-N","L-Cystine","C00491","Cysteine and methionine metabolism"
"IK_LEVWYRKDKASIDU-UHFFFAOYNA-N","Cystine","C00491","Cysteine and methionine metabolism"
"IK_LCTONWCANYUPML-UHFFFAOYSA-N","Pyruvic Acid","C00022","Cysteine and methionine metabolism"
"IK_TYEYBOSBBBHJIV-UHFFFAOYSA-N","2-Ketobutyric acid","C00109","Cysteine and methionine metabolism"
"IK_QVMUHZHZYCDMAI-RYUDHWBXSA-N","Austdiol","C02356","Cysteine and methionine metabolism"
"IK_QVZHZVWYFNADIO-BATPLZQESA-N","3'-Ketolactose","C02356","Cysteine and methionine metabolism"
"IK_QWCKQJZIFLGMSD-VKHMYHEASA-N","L-2-Aminobutyric acid","C02356","Cysteine and methionine metabolism"
"IK_JCMUOFQHZLPHQP-BQBZGAKWSA-N","Ophthalmic acid","C21016","Cysteine and methionine metabolism"
"IK_OSJPPGNTCRNQQC-UHFFFAOYSA-N","3-phosphoglycerate","C00197","Cysteine and methionine metabolism"
"IK_BTNMPGBKDVTSJY-UHFFFAOYSA-N","Phenylpyruvic Acid","C00166","Phenylalanine metabolism"
"IK_WBYWAXJHAXSJNI-VOTSOKGWSA-N","Cinnamic acid","C00166","Phenylalanine metabolism"
"IK_COLNVLDHVKWLRT-QMMMGPOBSA-N","L-Phenylalanine","C00079","Phenylalanine metabolism"
"IK_COLNVLDHVKWLRT-UHFFFAOYNA-N","Phenylalanine","C00079","Phenylalanine metabolism"
"IK_JUAPMRSLDANLAS-HOTGVXAUSA-N","Phe Phe","C00079","Phenylalanine metabolism"
"IK_CCVYRRGZDBSHFU-UHFFFAOYSA-N","2-Hydroxyphenylacetic Acid","C05852","Phenylalanine metabolism"
"IK_DTUQWGWMVIHBKE-UHFFFAOYSA-N","Phenylacetaldehyde","C00601","Phenylalanine metabolism"
"IK_OUYCCCASQSFEME-QMMMGPOBSA-N","L-Tyrosine","C00082","Phenylalanine metabolism"
"IK_OUYCCCASQSFEME-UHFFFAOYNA-N","Tyrosine","C00082","Phenylalanine metabolism"
"IK_KDYFGRWQOYBRFD-UHFFFAOYSA-N","Succinic acid","C00036","Glyoxylate and dicarboxylate metabolism"
"IK_KHPXUQMNIQBQEV-UHFFFAOYSA-N","Oxaloacetate","C00036","Glyoxylate and dicarboxylate metabolism"
"IK_KRKNYBCHXYNGOX-UHFFFAOYSA-N","Citric Acid","C00158","Glyoxylate and dicarboxylate metabolism"
"IK_BJEPYKJPYRNKOW-UHFFFAOYSA-N","malic acid","C00149","Glyoxylate and dicarboxylate metabolism"
"IK_RBNPOMFGQQGHHO-UHFFFAOYSA-N","glyceric acid","C00258","Glyoxylate and dicarboxylate metabolism"
"IK_ASCFNMCAHFUBCO-UHFFFAOYSA-N","Phosphoglycolic acid","C00988","Glyoxylate and dicarboxylate metabolism"
"IK_GTZCVFVGUGFEME-IWQZZHSRSA-N","cis-Aconitic acid","C00417","Glyoxylate and dicarboxylate metabolism"
"IK_GTZCVFVGUGFEME-UHFFFAOYSA-N","aconitic acid","C00417","Glyoxylate and dicarboxylate metabolism"
"IK_ODBLHEXUDAPZAU-UHFFFAOYSA-N","isocitric acid","C00311","Glyoxylate and dicarboxylate metabolism"
"IK_LCTONWCANYUPML-UHFFFAOYSA-N","Pyruvic Acid","C00022","Glyoxylate and dicarboxylate metabolism"
"IK_DHMQDGOQFOQNFH-UHFFFAOYSA-N","Glycine","C00037","Glyoxylate and dicarboxylate metabolism"
"IK_MTCFGRXMJLQNBG-REOHCLBHSA-N","L-Serine","C00065","Glyoxylate and dicarboxylate metabolism"
"IK_MTCFGRXMJLQNBG-UHFFFAOYNA-N","Serine","C00065","Glyoxylate and dicarboxylate metabolism"
"IK_WHUUTDBJXJRKMK-VKHMYHEASA-N","Glutamic acid","C00025","Glyoxylate and dicarboxylate metabolism"
"IK_ZDXPYRJPNDTMRX-VKHMYHEASA-N","Glutamine","C00064","Glyoxylate and dicarboxylate metabolism"
"IK_WHUUTDBJXJRKMK-VKHMYHEASA-N","Glutamic acid","C00025","Glyoxylate and dicarboxylate metabolism"
"IK_DHMQDGOQFOQNFH-UHFFFAOYSA-N","Glycine","C00037","Glyoxylate and dicarboxylate metabolism"
"IK_CDAISMWEOUEBRE-GPIVLXJGSA-N","myo-inositol","C00137","Ascorbate and aldarate metabolism"
"IK_CDAISMWEOUEBRE-UHFFFAOYSA-N","Myoinositol","C00137","Ascorbate and aldarate metabolism"
"IK_WQZGKKKJIJFFOK-GASJEMHNSA-N","glucose","C00029","Ascorbate and aldarate metabolism"
"IK_UYUXSRADSPPKRZ-SKNVOMKLSA-N","D-Glucuronolactone","C02670","Ascorbate and aldarate metabolism"
"IK_DSLZVSRJTYRBFB-LLEIAEIESA-N","saccharic acid","C00818","Ascorbate and aldarate metabolism"
"IK_ABFZMYIIUREPLL-ASWJIRIHSA-N","Glycochenodeoxycholic acid 3-glucuronide","C03033","Ascorbate and aldarate metabolism"
"IK_ABOLXXZAJIAUGR-JPMMFUSZSA-N","Ibuprofen glucuronide","C03033","Ascorbate and aldarate metabolism"
"IK_ADQUXZRKOKKULD-CZOXBATISA-N","15-Hydroxynorandrostene-3,17-dione glucuronide","C03033","Ascorbate and aldarate metabolism"
"IK_GIQXKAXWRLHLDD-VYACWCJYSA-N","Lithocholate 3-O-glucuronide","C03033","Ascorbate and aldarate metabolism"
"IK_GLONBVCUAVPJFV-PCDHEYSGSA-N","Dehydroisoandrosterone 3-glucuronide","C03033","Ascorbate and aldarate metabolism"
"IK_IJLBJBCDNYOWPJ-MVMUGOIMSA-N","Cholesterol glucuronide","C03033","Ascorbate and aldarate metabolism"
"IK_KUYNOZVWCFXSNE-BYNIDDHOSA-N","Indoxyl glucuronide","C03033","Ascorbate and aldarate metabolism"
"IK_NNAIYOXJNVGUOM-UHFFFAOYSA-N","Amperozide","C03033","Ascorbate and aldarate metabolism"
"IK_NNEIBJNHWVDJBA-GYSLYLNXSA-N","Deoxycholic acid 3-glucuronide","C03033","Ascorbate and aldarate metabolism"
"IK_ONWMQORSVZYVNH-UHFFFAOYSA-N","Tyrosyl-Asparagine","C03033","Ascorbate and aldarate metabolism"
"IK_YVYMBNSKXOXSKW-HXUWFJFHSA-N","PE(16:0/0:0)","C03033","Ascorbate and aldarate metabolism"
"IK_ZBXYMKUZCWCGPC-BDWKERMESA-N","(2E,4E)-2,7-Dimethyl-2,4-octadienedioic acid","C03033","Ascorbate and aldarate metabolism"
"IK_ZDHRSPRSUBAAIO-FNORWQNLSA-N","2-Nonene-1,4-diol","C03033","Ascorbate and aldarate metabolism"
"IK_ZFACUKICYTXONE-IWDZABBFSA-N","PC(16:1(9Z)/P-18:1(11Z))","C03033","Ascorbate and aldarate metabolism"
"IK_CKLJMWTZIZZHCS-REOHCLBHSA-N","L-Aspartic Acid","C00049","Histidine metabolism"
"IK_BRMWTNUJHUMWMS-LURJTMIESA-N","1-Methylhistidine","C01152","Histidine metabolism"
"IK_JDHILDINMRGULE-UHFFFAOYNA-N","3-Methylhistidine","C01152","Histidine metabolism"
"IK_MYYIAHXIVFADCU-QMMMGPOBSA-N","Anserine","C01262","Histidine metabolism"
"IK_HNDVDQJCIGZPNO-YFKPBYRVSA-N","Histidine","C00135","Histidine metabolism"
"IK_LOIYMIARKYCTBW-OWOJBTEDSA-N","Urocanic acid","C00785","Histidine metabolism"
"IK_HZDLKNOGBSMKRN-UHFFFAOYSA-N","Imidazolone A","C03680","Histidine metabolism"
"IK_WHUUTDBJXJRKMK-VKHMYHEASA-N","Glutamic acid","C00025","Histidine metabolism"
"IK_KZSNJWFQEVHDMF-UHFFFAOYNA-N","Valine","C00141","Pantothenate and CoA biosynthesis"
"IK_QHKABHOOEWYVLI-UHFFFAOYSA-N","Ketoisovaleric acid","C00141","Pantothenate and CoA biosynthesis"
"IK_KZSNJWFQEVHDMF-BYPYZUCNSA-N","L-Valine","C00183","Pantothenate and CoA biosynthesis"
"IK_GHOKWGTUZJEAQD-ZETCQYMHSA-N","Pantothenic acid","C00864","Pantothenate and CoA biosynthesis"
"IK_UCMIRNVEIXFBKS-UHFFFAOYSA-N","Beta-alanine","C00099","Pantothenate and CoA biosynthesis"
"IK_RJMIEHBSYVWVIN-UHFFFAOYSA-N","Indoprofen","C00429","Pantothenate and CoA biosynthesis"
"IK_ISAKRJDGNUQOIC-UHFFFAOYSA-N","Uracil","C00106","Pantothenate and CoA biosynthesis"
"IK_CKLJMWTZIZZHCS-REOHCLBHSA-N","L-Aspartic Acid","C00049","Pantothenate and CoA biosynthesis"
"IK_PCBVVHMKRNVSDR-YJNXUYHJSA-N","PE(18:1(9Z)/18:3(9Z,12Z,15Z))","C05665","Pantothenate and CoA biosynthesis"
"IK_RJMIEHBSYVWVIN-UHFFFAOYSA-N","Indoprofen","C00429","beta-Alanine metabolism"
"IK_UCMIRNVEIXFBKS-UHFFFAOYSA-N","Beta-alanine","C00099","beta-Alanine metabolism"
"IK_PCBVVHMKRNVSDR-YJNXUYHJSA-N","PE(18:1(9Z)/18:3(9Z,12Z,15Z))","C05665","beta-Alanine metabolism"
"IK_ATHGHQPFGPMSJY-UHFFFAOYSA-N","Spermidine","C00315","beta-Alanine metabolism"
"IK_CKLJMWTZIZZHCS-REOHCLBHSA-N","L-Aspartic Acid","C00049","beta-Alanine metabolism"
"IK_HNDVDQJCIGZPNO-YFKPBYRVSA-N","Histidine","C00135","beta-Alanine metabolism"
"IK_MYYIAHXIVFADCU-QMMMGPOBSA-N","Anserine","C01262","beta-Alanine metabolism"
"IK_ISAKRJDGNUQOIC-UHFFFAOYSA-N","Uracil","C00106","beta-Alanine metabolism"
"IK_PMTMAFAPLCGXGK-JMTMCXQRSA-N","12-oxo-PDA","C00092","Starch and sucrose metabolism"
"IK_VFLYULAVOFVIAM-RRDRPCBCSA-N","1-(4-O-beta-D-glucopyranosyl-3-methoxyphenyl)-3,5-dihydroxydecane","C00092","Starch and sucrose metabolism"
"IK_PMTMAFAPLCGXGK-JMTMCXQRSA-N","12-oxo-PDA","C00092","Starch and sucrose metabolism"
"IK_VFLYULAVOFVIAM-RRDRPCBCSA-N","1-(4-O-beta-D-glucopyranosyl-3-methoxyphenyl)-3,5-dihydroxydecane","C00092","Starch and sucrose metabolism"
"IK_CZMRCDWAGMRECN-UGDNZRGBSA-N","Sucrose","C00089","Starch and sucrose metabolism"
"IK_WQZGKKKJIJFFOK-GASJEMHNSA-N","glucose","C00029","Starch and sucrose metabolism"
"IK_LKDRXBCSQODPBY-VRPWFDPXSA-N","D-Fructose","C00085","Starch and sucrose metabolism"
"IK_PMTMAFAPLCGXGK-JMTMCXQRSA-N","12-oxo-PDA","C00092","Starch and sucrose metabolism"
"IK_VFLYULAVOFVIAM-RRDRPCBCSA-N","1-(4-O-beta-D-glucopyranosyl-3-methoxyphenyl)-3,5-dihydroxydecane","C00092","Starch and sucrose metabolism"
"IK_PMTMAFAPLCGXGK-JMTMCXQRSA-N","12-oxo-PDA","C00092","Starch and sucrose metabolism"
"IK_VFLYULAVOFVIAM-RRDRPCBCSA-N","1-(4-O-beta-D-glucopyranosyl-3-methoxyphenyl)-3,5-dihydroxydecane","C00092","Starch and sucrose metabolism"
"IK_CZMRCDWAGMRECN-UGDNZRGBSA-N","Sucrose","C00089","Starch and sucrose metabolism"
"IK_GUBGYTABKSRVRQ-CUHNMECISA-N","Cellobiose","C00185","Starch and sucrose metabolism"
"IK_DLQYHMAWCJLUJE-DLZQOPQVSA-N","Maltose B","C00252","Starch and sucrose metabolism"
"IK_HXXFSFRBOHSIMQ-VFUOTHLCSA-N","glucose-1-phosphate","C00103","Starch and sucrose metabolism"
"IK_GUBGYTABKSRVRQ-CUHNMECISA-N","Cellobiose","C00185","Starch and sucrose metabolism"
"IK_JDSRHVWSAMTSSN-IRQZEAMPSA-N","13(S)-HpODE","C04717","Linoleic acid metabolism"
"IK_AEAMHDRXCYEOCU-HTDYWKJCSA-N","PC(18:0/18:1(11Z))","C00157","Linoleic acid metabolism"
"IK_AHWXJDWBIIDPKS-TZUVPVEASA-N","GPCho(22:6/18:0)","C00157","Linoleic acid metabolism"
"IK_ATHVAWFAEPLPPQ-VRDBWYNSSA-N","PC 36:1","C00157","Linoleic acid metabolism"
"IK_AXZGUCXCTZMPTR-UVGACIQRSA-N","PC(18:0/22:4(7Z,10Z,13Z,16Z))","C00157","Linoleic acid metabolism"
"IK_BETFSIOJEATXGY-WOCLASLBSA-N","PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:1(9Z))","C00157","Linoleic acid metabolism"
"IK_BFZDKPVWJYFECC-OFCLATOASA-N","PC aa C34:4","C00157","Linoleic acid metabolism"
"IK_BHWGKAVGUMMQIW-UVZRHDGTSA-N","PC 40:7|PC 20:3_20:4","C00157","Linoleic acid metabolism"
"IK_BNLANPMAYYCMLY-LCXZALMSSA-N","PC(18:1(9Z)/P-18:1(9Z))","C00157","Linoleic acid metabolism"
"IK_CEJUIQBITPKHHY-OWEZASBCSA-N","PC(20:4(8Z,11Z,14Z,17Z)/18:2(9Z,12Z))","C00157","Linoleic acid metabolism"
"IK_DGBYUHHIADYUMU-UESLNCBNSA-N","GPCho(15:0/18:2)","C00157","Linoleic acid metabolism"
"IK_DLZPSAPMHALIOA-YNCVDBFYSA-N","GPCho(20:0/18:3)","C00157","Linoleic acid metabolism"
"IK_DPEYXLDDNACOGV-ANVMUZGGSA-N","PC(18:1(11Z)/18:3(9Z,12Z,15Z))","C00157","Linoleic acid metabolism"
"IK_DZPKSVTWWIZUMS-FPUNCOTOSA-N","PC(18:2(9Z,12Z)/18:0)","C00157","Linoleic acid metabolism"
"IK_FAUYAENFVCNTAL-PFFNLMTBSA-N","PC(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","C00157","Linoleic acid metabolism"
"IK_FBCNXALHPSQUQY-WKABSKOFSA-N","PC(20:4(8Z,11Z,14Z,17Z)/18:0)","C00157","Linoleic acid metabolism"
"IK_FHENRYRLCPXONH-LDLOPFEMSA-N","PC 33:0","C00157","Linoleic acid metabolism"
"IK_FHUAYOMRHXZKHT-JUGJLYODSA-N","PC 40:4","C00157","Linoleic acid metabolism"
"IK_FKEIHZHIVAFDLO-RYPYTVSESA-N","PC(22:1(13Z)/22:5(4Z,7Z,10Z,13Z,16Z))","C00157","Linoleic acid metabolism"
"IK_FMBYBTSZVHUJMV-DIVFMYBRSA-N","PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:0)","C00157","Linoleic acid metabolism"
"IK_FORFDCPQKJHEBF-HUESYALOSA-N","PC(18:0/18:2(9Z,12Z))","C00157","Linoleic acid metabolism"
"IK_FQVFGIZCMMQDNV-NQQLFREJSA-N","PC(18:1(9Z)/P-16:0)","C00157","Linoleic acid metabolism"
"IK_FVXDQWZBHIXIEJ-LNDKUQBDSA-N","PC(18:2(9Z,12Z)/18:2(9Z,12Z))","C00157","Linoleic acid metabolism"
"IK_FWMYJLDHIVCJCT-RRHRGVEJSA-N","PC(18:2(9Z,12Z)/16:0)","C00157","Linoleic acid metabolism"
"IK_GIPZQCAVEQRWOM-IKJFKDIMSA-N","PC aa C38:1","C00157","Linoleic acid metabolism"
"IK_GJRXIEGNAMFGOV-VEOGPPBOSA-N","PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-16:0)","C00157","Linoleic acid metabolism"
"IK_GPWHCUUIQMGELX-VHQDNGOZSA-N","PC 32:2","C00157","Linoleic acid metabolism"
"IK_GQQALHZKRGXRTO-AEMURDCYSA-N","PC(20:0/20:5(5Z,8Z,11Z,14Z,17Z))","C00157","Linoleic acid metabolism"
"IK_IESVDEZGAHUQJU-ZLBXKVHBSA-N","PC(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","C00157","Linoleic acid metabolism"
"IK_IJPRFXKJWFQONJ-UHFFFAOYSA-N","Desmethyltetrahydropiperine sulfate","C00157","Linoleic acid metabolism"
"IK_IORKBJYFXXCDMP-GMGFYYQASA-N","PC(18:2(9Z,12Z)/14:0)","C00157","Linoleic acid metabolism"
"IK_IPMVHVDAYPUFKH-WYRBGLKBSA-N","PC(16:1(9Z)/16:0)","C00157","Linoleic acid metabolism"
"IK_JAVWFBAAZSHHAD-HCYAGMRRSA-N","PC(16:0/20:4(8Z,11Z,14Z,17Z))","C00157","Linoleic acid metabolism"
"IK_JHMWTEQGLBMSLG-DMHZMEFUSA-N","GPCho(20:3/20:3)","C00157","Linoleic acid metabolism"
"IK_JLIPBVWMWUWERT-HNQUOIGGSA-N","Hydroxydesmethylpiperine sulfate","C00157","Linoleic acid metabolism"
"IK_JPIJQSOTBSSVTP-GBXIJSLDSA-N","isothreonic acid","C00157","Linoleic acid metabolism"
"IK_KNHXCLGABLNNRN-FFSDQCCLSA-N","PC O-34:4|PC O-16:2_18:2","C00157","Linoleic acid metabolism"
"IK_LJARBVLDSOWRJT-PSXMRANNSA-N","PC(15:0/15:0)","C00157","Linoleic acid metabolism"
"IK_LYFMZJCIGLZMJF-IRSYNFPBSA-N","PE(P-16:0/22:2(13Z,16Z))","C00157","Linoleic acid metabolism"
