"entity_id","canonical_metabolite","KEGG_ID","Pathway"
"IK_DWAKNKKXGALPNW-UHFFFAOYSA-N","1-Pyrroline-5-carboxylic acid","C03912","Arginine and proline metabolism"
"IK_BTNKSMIZKSHDNT-UHFFFAOYSA-N","Trans-4-Hydroxyl L-Proline","C01157","Arginine and proline metabolism"
"IK_LCTONWCANYUPML-UHFFFAOYSA-N","Pyruvic Acid","C00022","Arginine and proline metabolism"
"IK_ONIBWKKTOPOVIA-BYPYZUCNSA-N","L-Proline","C00148","Arginine and proline metabolism"
"IK_ONIBWKKTOPOVIA-UHFFFAOYNA-N","Proline","C00148","Arginine and proline metabolism"
"IK_RWRDLPDLKQPQOW-UHFFFAOYSA-N","Pyrrolidine","C00148","Arginine and proline metabolism"
"IK_KABXUUFDPUOJMW-BYPYZUCNSA-N","L-Glutamic gamma-semialdehyde","C01165","Arginine and proline metabolism"
"IK_VZCYOOQTPOCHFL-OWOJBTEDSA-N","fumaric acid","C00122","Alanine, aspartate and glutamate metabolism"
"IK_KDYFGRWQOYBRFD-UHFFFAOYSA-N","Succinic acid","C00036","Alanine, aspartate and glutamate metabolism"
"IK_KHPXUQMNIQBQEV-UHFFFAOYSA-N","Oxaloacetate","C00036","Alanine, aspartate and glutamate metabolism"
"IK_JFCQEDHGNNZCLN-UHFFFAOYSA-N","Glutaric Acid","C00026","Alanine, aspartate and glutamate metabolism"
"IK_KPGXRSRHYNQIFN-UHFFFAOYSA-N","Oxoglutaric acid","C00026","Alanine, aspartate and glutamate metabolism"
"IK_QNAYBMKLOCPYGJ-REOHCLBHSA-N","L-Alanine","C00041","Alanine, aspartate and glutamate metabolism"
"IK_XBDQKXXYIPTUBI-UHFFFAOYSA-N","Propionic Acid","C00041","Alanine, aspartate and glutamate metabolism"
"IK_CKLJMWTZIZZHCS-REOHCLBHSA-N","L-Aspartic Acid","C00049","Alanine, aspartate and glutamate metabolism"
"IK_DCXYFEDJOCDNAF-REOHCLBHSA-N","L-Asparagine","C00152","Alanine, aspartate and glutamate metabolism"
"IK_OSRWIBSZJTWIKA-JLNKQSITSA-N","LPE 22:5","C01042","Alanine, aspartate and glutamate metabolism"
"IK_OTBMMWCXBVNALT-AMOZBRKMSA-N","PE-NMe(20:4(8Z,11Z,14Z,17Z)/24:0)","C01042","Alanine, aspartate and glutamate metabolism"
"IK_OTCCIMWXFLJLIA-BYPYZUCNSA-N","N-Acetylaspartic acid","C01042","Alanine, aspartate and glutamate metabolism"
"IK_LCTONWCANYUPML-UHFFFAOYSA-N","Pyruvic Acid","C00022","Alanine, aspartate and glutamate metabolism"
"IK_UHWVSEOVJBQKBE-UHFFFAOYSA-N","TRIMETAZIDINE","C00232","Alanine, aspartate and glutamate metabolism"
"IK_UIPSRRAMIULCRE-OZKVUCNRSA-N","PG(22:5(7Z,10Z,13Z,16Z,19Z)/22:5(4Z,7Z,10Z,13Z,19Z)-O(16,17))","C00232","Alanine, aspartate and glutamate metabolism"
"IK_UIUJIQZEACWQSV-UHFFFAOYSA-N","Succinic acid semialdehyde","C00232","Alanine, aspartate and glutamate metabolism"
