"from","to","weight"
"IK_GMXSGLCDVHHWIB-UHFFFAOYSA-N","IK_XFTRTWQBIOMVPK-UHFFFAOYSA-N",0.01
"IK_GMXSGLCDVHHWIB-UHFFFAOYSA-N","IK_XVOUMQNXTGKGMA-OWOJBTEDSA-N",0.01
"IK_GMXSGLCDVHHWIB-UHFFFAOYSA-N","UNKNOWN_ROW__35829770__unknown_393",0.01
"IK_GMXSGLCDVHHWIB-UHFFFAOYSA-N","UNKNOWN_ROW__35829770__unknown_416",0.01
"IK_GMZVRMREEHBGGF-UHFFFAOYSA-N","IK_HCFRWBBJISAZNK-UHFFFAOYSA-N",0.015625
"IK_GMZVRMREEHBGGF-UHFFFAOYSA-N","IK_ILJSQTXMGCGYMG-UHFFFAOYSA-N",0.015625
"IK_GMZVRMREEHBGGF-UHFFFAOYSA-N","IK_LKAPTZKZHMOIRE-KVTDHHQDSA-N",0.015625
"IK_GMZVRMREEHBGGF-UHFFFAOYSA-N","IK_VASLEPDZAKCNJX-UHFFFAOYSA-N",0.015625
"IK_GMZVRMREEHBGGF-UHFFFAOYSA-N","IK_WQXNXVUDBPYKBA-YFKPBYRVSA-N",0.015625
"IK_GMZVRMREEHBGGF-UHFFFAOYSA-N","UNKNOWN_ROW__35829770__unknown_449",0.015625
"IK_GNQHFHGLDGEOOU-ZIJFCRNMSA-N","IK_KWABLUYIOFEZOY-UHFFFAOYSA-N",0.0204081632653061
"IK_GNQHFHGLDGEOOU-ZIJFCRNMSA-N","IK_VXBLCLVRWCLEOX-BFYSZXNBSA-N",0.0204081632653061
"IK_GNQHFHGLDGEOOU-ZIJFCRNMSA-N","UNKNOWN_ROW__24167579__unknown_137",0.0204081632653061
"IK_GNWBLLYJQXKPIP-ZOGIJGBBSA-N","IK_QYYHPAUOLCHORH-UHFFFAOYSA-N",0.25
"IK_GNWHRHGTIBRNSM-UHFFFAOYSA-N","IK_XYWRZQQANNOTTD-UHFFFAOYSA-N",0.25
"IK_GOLXRNDWAUTYKT-UHFFFAOYSA-N","IK_LYCVKHSJGDMDLM-LURJTMIESA-N",0.00591715976331361
"IK_GOLXRNDWAUTYKT-UHFFFAOYSA-N","IK_PFDUUKDQEHURQC-ZETCQYMHSA-N",0.00591715976331361
"IK_GOLXRNDWAUTYKT-UHFFFAOYSA-N","IK_PZSJOBKRSVRODF-UHFFFAOYSA-N",0.00591715976331361
"IK_GOLXRNDWAUTYKT-UHFFFAOYSA-N","IK_QPYQKHOKNCVKGE-DUXPYHPUSA-N",0.00591715976331361
"IK_GOLXRNDWAUTYKT-UHFFFAOYSA-N","IK_UPABQMWFWCMOFV-UHFFFAOYSA-N",0.00591715976331361
"IK_GOLXRNDWAUTYKT-UHFFFAOYSA-N","IK_UXDIXFDKSPCUIX-AXFHLTTASA-N",0.00591715976331361
"IK_GOLXRNDWAUTYKT-UHFFFAOYSA-N","IK_WJAJPNHVVFWKKL-UHFFFAOYSA-N",0.00591715976331361
"IK_GOLXRNDWAUTYKT-UHFFFAOYSA-N","IK_ZPWVTTHIHKYUQK-UHFFFAOYSA-N",0.00591715976331361
"IK_GOLXRNDWAUTYKT-UHFFFAOYSA-N","UNKNOWN_ROW__35829770__unknown_216",0.00591715976331361
"IK_GOLXRNDWAUTYKT-UHFFFAOYSA-N","UNKNOWN_ROW__35829770__unknown_283",0.00591715976331361
"IK_GOLXRNDWAUTYKT-UHFFFAOYSA-N","UNKNOWN_ROW__35829770__unknown_305",0.00591715976331361
"IK_GOMVPVRDBLLHQC-VEJNOCSESA-N","IK_JZWNYZVVZXZRRH-MDZDMXLPSA-N",0.04
"IK_GOMVPVRDBLLHQC-VEJNOCSESA-N","IK_LFLJTCVAAOWHTD-BHPNAFPPSA-N",0.04
"IK_GOMVPVRDBLLHQC-VEJNOCSESA-N","IK_MULVVBYNDZRKPA-XCZWIQLXSA-N",0.04
"IK_GOQGGGANVKPMNH-UHFFFAOYSA-N","IK_ONFOSYPQQXJWGS-UHFFFAOYSA-N",0.111111111111111
"IK_GOVYBPLHWIEHEJ-UHFFFAOYSA-N","IK_GUGSXATYPSGVAY-GCXXXECGSA-N",0.0277777777777778
"IK_GOVYBPLHWIEHEJ-UHFFFAOYSA-N","IK_HHDMMUWDSFASNB-JZYAIQKZSA-N",0.0277777777777778
"IK_GOVYBPLHWIEHEJ-UHFFFAOYSA-N","IK_HLQYTKUIIJTNHH-JTAGEXAMSA-N",0.0277777777777778
"IK_GOVYBPLHWIEHEJ-UHFFFAOYSA-N","IK_PIXFHVWJOVNKQK-CJWOFWMHSA-N",0.0277777777777778
"IK_GOVYBPLHWIEHEJ-UHFFFAOYSA-N","IK_VEOYBEJCEMJLHN-OAQYLSRUSA-N",0.0277777777777778
"IK_GOWRYACIDZSIHI-KBPBESRZSA-N","UNKNOWN_ROW__24167579__unknown_86",0.0277777777777778
"IK_GOZCEKPKECLKNO-RKQHYHRCSA-N","IK_IMYZYCNQZDBZBQ-UHFFFAOYSA-N",0.00591715976331361
"IK_GOZCEKPKECLKNO-RKQHYHRCSA-N","IK_KGQZGCIVHYLPBH-UHFFFAOYSA-N",0.00591715976331361
"IK_GOZCEKPKECLKNO-RKQHYHRCSA-N","IK_NANHIUZYPFDGJS-UHFFFAOYSA-N",0.00591715976331361
"IK_GOZCEKPKECLKNO-RKQHYHRCSA-N","IK_RSDDHGSKLOSQFK-RVDMUPIBSA-N",0.00591715976331361
"IK_GOZCEKPKECLKNO-RKQHYHRCSA-N","IK_RWVIMCIPOAXUDG-UHFFFAOYSA-N",0.00591715976331361
"IK_GOZCEKPKECLKNO-RKQHYHRCSA-N","IK_WPJGPAAPSBVXNU-HZJYTTRNSA-N",0.00591715976331361
"IK_GOZCEKPKECLKNO-RKQHYHRCSA-N","IK_ZHTQCPCDXKMMLU-UHFFFAOYSA-N",0.00591715976331361
"IK_GOZCEKPKECLKNO-RKQHYHRCSA-N","IK_ZKLLSNQJRLJIGT-UYFOZJQFSA-N",0.00591715976331361
"IK_GOZCEKPKECLKNO-RKQHYHRCSA-N","UNKNOWN_ROW__35829770__unknown_281",0.00591715976331361
"IK_GPWHCUUIQMGELX-VHQDNGOZSA-N","IK_IORKBJYFXXCDMP-GMGFYYQASA-N",0.111111111111111
"IK_GPWHCUUIQMGELX-VHQDNGOZSA-N","IK_PWSKCIUNCJJBIX-RXDOKCLVSA-N",0.111111111111111
"IK_GQAJNGUAQKYPCH-XVNBXDOJSA-N","IK_MGXAKXRVQRODDX-LRSNRTHXSA-N",0.00826446280991736
"IK_GQAJNGUAQKYPCH-XVNBXDOJSA-N","IK_NPDSHTNEKLQQIJ-UINYOVNOSA-N",0.00826446280991736
"IK_GQAJNGUAQKYPCH-XVNBXDOJSA-N","IK_NRBFOSKZAWRBJI-KRWDZBQOSA-N",0.00826446280991736
"IK_GQAJNGUAQKYPCH-XVNBXDOJSA-N","IK_UCPOMLWZWRTIAA-UHFFFAOYSA-N",0.00826446280991736
"IK_GQAJNGUAQKYPCH-XVNBXDOJSA-N","IK_UIPSRRAMIULCRE-OZKVUCNRSA-N",0.00826446280991736
"IK_GQAJNGUAQKYPCH-XVNBXDOJSA-N","IK_UYWXWYBEHLAUEW-UHFFFAOYSA-N",0.00826446280991736
"IK_GQAJNGUAQKYPCH-XVNBXDOJSA-N","IK_VOZHMAYHYHEWBW-NVOOAVKYSA-N",0.00826446280991736
"IK_GQAJNGUAQKYPCH-XVNBXDOJSA-N","IK_WXURHACBFYSXBI-GQKYHHCASA-N",0.00826446280991736
"IK_GQAJNGUAQKYPCH-XVNBXDOJSA-N","IK_XWXLDVGDOHFZSG-KPRBQMARSA-N",0.00826446280991736
"IK_GQAJNGUAQKYPCH-XVNBXDOJSA-N","UNKNOWN_ROW__24167579__unknown_133",0.00826446280991736
"IK_GQIJYUMTOUBHSH-IJIVKGSJSA-N","IK_MIAKOEWBCMPCQR-GCHJQGSQSA-N",0.0204081632653061
