PC1,PC2,entity_id,canonical_metabolite,study_id,matrix_clean,mode_clean,phase_clean
0.4302016845884259,-0.03878753354547097,IK_NGSWKAQJJWESNS-ZZXKWVIFSA-N,p-coumaric acid,MTBLS11904,plasma,Positive,Reverse phase/C18
0.41924131989865676,0.04802601028323396,IK_NGTXCORNXNELNU-BOIFFFMUSA-N,Leukotriene B3,29518718,plasma,Positive,LC-MS/unspecified
-0.6928713962521387,-0.12153322728806973,IK_NGZXDRGWBULKFA-WUFINQPMSA-N,Chondrocurine,MTBLS11904,plasma,Negative,Reverse phase/C18
-0.08843009102517621,-0.07729613210169782,IK_NHAJHKARKKFXMR-UHFFFAOYSA-N,Adlupone,MTBLS11904,plasma,Positive,Reverse phase/C18
6.447528087596673,0.40148136079175245,IK_NHKZSTHOYNWEEZ-AFCXAGJDSA-N,Taribavirin,MTBLS11904,plasma,Negative,Reverse phase/C18
-0.2621235153914847,-0.08998213201232824,IK_NHTGHBARYWONDQ-JTQLQIEISA-N,Metyrosine,MTBLS11904,plasma,Negative,Reverse phase/C18
-0.10680366313666376,-0.07866037671922227,IK_NICDFCNOCPZHTJ-LXGSHKTASA-N,Annosquamosin B,MTBLS11904,plasma,Positive,Reverse phase/C18
-0.7411163399658939,-0.12506703652689433,IK_NIDNHJFXEWZXLZ-VGVQALKYSA-N,"DG(18:1(12Z)-O(9S,10R)/a-17:0/0:0)",MTBLS11904,plasma,Negative,Reverse phase/C18
-0.04973349456301063,-0.07442514813667789,IK_NIDVTARKFBZMOT-PEBGCTIMSA-N,N-Acetylcytidine,MTBLS11904,plasma,Negative,Reverse phase/C18
-0.27147060364162695,0.04324061214798801,IK_NIDVTARKFBZMOT-PEBGCTIMSA-N,N-Acetylcytidine,38720721,serum,Not reported,Reverse phase/C18
0.32425038212150736,-0.046654456193154156,IK_NIGWMJHCCYYCSF-UHFFFAOYSA-N,P-CHLOROPHENYLALANINE,MTBLS11904,plasma,Positive,Reverse phase/C18
0.22809593395931083,-0.054074907951994544,IK_NIOYUNMRJMEDGI-UHFFFAOYSA-N,Palmitaldehyde,MTBLS11904,plasma,Negative,Reverse phase/C18
0.23800492000920584,-0.09590677729235766,IK_NIPLIJLVGZCKMP-UHFFFAOYSA-M,Neurine,ST003159,serum,Positive,HILIC
0.056073165394065344,-0.06656671285912677,IK_NISGSNTVMOOSJQ-UHFFFAOYSA-N,Cyclopentylamine,MTBLS11904,plasma,Positive,Reverse phase/C18
-0.46955018710929897,-0.10517556416233514,IK_NISPVUDLMHQFRQ-MKIKIEMVSA-N,Cucurbitacin I,MTBLS11904,plasma,Negative,Reverse phase/C18
-0.07020445520461596,-0.07594287208379714,IK_NITMRIAAAKECLS-IZZDOVSWSA-N,Furapyrimidone,MTBLS11904,plasma,Positive,Reverse phase/C18
-4.074669851114909,0.22112479404385038,IK_NIVZHWNOUVJHKV-UHFFFAOYSA-N,Bethanidine,ST003159,serum,Negative,Reverse phase/C18
0.3655539334576533,-0.04358765258886253,IK_NIXOWILDQLNWCW-UHFFFAOYSA-N,Acrylic acid,MTBLS11904,plasma,Positive,Reverse phase/C18
0.3117047480692341,-0.047950792859590724,IK_NJCXGFKPQSFZIB-RRKCRQDMSA-N,5-Chloro-2'-deoxyuridine,MTBLS11904,plasma,Negative,Reverse phase/C18
-0.09830342025111277,-0.07798276134896005,IK_NJHKGJJIKOCCMZ-YMIVKDKMSA-N,PE(22:4/0:0),MTBLS11904,plasma,Negative,Reverse phase/C18
0.02170329449106592,-0.06919260012380397,IK_NKDFYOWSKOHCCO-WRDNMVOESA-N,Ecdysterone,MTBLS11904,plasma,Negative,Reverse phase/C18
0.2533338144846602,-0.09703362808659421,IK_NKDFYOWSKOHCCO-YPVLXUMRSA-N,Crustecdysone,ST003159,serum,Positive,HILIC
-0.14609529412289718,-0.08157779478767113,IK_NKFNBVMJTSYZDV-UHFFFAOYSA-N,Lauryldiethanolamine,MTBLS11904,plasma,Positive,Reverse phase/C18
0.16626086463926426,-0.058604156279828734,IK_NKRLKOMBOSWILK-PLACYPQZSA-N,Kinetensin 4-7,MTBLS11904,plasma,Negative,Reverse phase/C18
0.16956976440630855,-0.058361789002174126,IK_NLLMJANWPUQQTA-SPUZQDLCSA-N,"Estra-1,3,5(10),7-tetraene-3,17alpha-diol",MTBLS11904,plasma,Negative,Reverse phase/C18
