entity_id,canonical_metabolite,all_metabolite_names,InChIKey,formula,n_studies_with_log2fc,n_effect_observations,n_up,n_down,mean_log2fc,median_log2fc,max_abs_log2fc,min_p_value,studies,dominant_direction,consistency_score,discordant,recurrent
IK_DNSSEQBYSHSUGR-UHFFFAOYSA-N,5-Oxo-2(5H)-isoxazolepropanenitrile,5-Oxo-2(5H)-isoxazolepropanenitrile,DNSSEQBYSHSUGR-UHFFFAOYSA-N,C6H6N2O2,1,1,1,0,0.458558954,0.458558954,0.458558954,NA,MTBLS11904,Up in PD,1,FALSE,FALSE
IK_LLLPDUXGHXIXIW-UHFFFAOYSA-N,N-formylanthranilic acid,N-formylanthranilic acid,LLLPDUXGHXIXIW-UHFFFAOYSA-N,C8H7NO3,1,1,1,0,0.456964429,0.456964429,0.456964429,NA,MTBLS11904,Up in PD,1,FALSE,FALSE
IK_CNAWLBRCOTWCNV-UHFFFAOYSA-N,5-Hydroxydodecanoylcarnitine,5-Hydroxydodecanoylcarnitine,CNAWLBRCOTWCNV-UHFFFAOYSA-N,C19H37NO5,1,1,0,1,-0.456765113,-0.456765113,0.456765113,NA,MTBLS11904,Down in PD,1,FALSE,FALSE
IK_QQHJDPROMQRDLA-UHFFFAOYSA-N,Hexadecanedioic acid,Hexadecanedioic acid,QQHJDPROMQRDLA-UHFFFAOYSA-N,C16H30O4,1,1,1,0,0.456067508,0.456067508,0.456067508,NA,MTBLS11904,Up in PD,1,FALSE,FALSE
IK_QVWAEZJXDYOKEH-UHFFFAOYSA-N,3-(3-Hydroxyphenyl)propionic acid,3-(3-Hydroxyphenyl)propionic acid | Dihydro-3-coumaric acid,QVWAEZJXDYOKEH-UHFFFAOYSA-N,C9H10O3,1,1,1,0,0.455768535,0.455768535,0.455768535,NA,MTBLS11904,Up in PD,1,FALSE,FALSE
IK_RHVPEFQDYMMNSY-UHFFFAOYSA-N,Harmalol,Harmalol,RHVPEFQDYMMNSY-UHFFFAOYSA-N,C12H12N2O,1,1,1,0,0.455203807,0.455203807,0.455203807,NA,MTBLS11904,Up in PD,1,FALSE,FALSE
IK_QYIXCDOBOSTCEI-KKFSNPNRSA-N,Epi-coprostanol,Epi-coprostanol,QYIXCDOBOSTCEI-KKFSNPNRSA-N,C27H48O,1,1,0,1,-0.454472983,-0.454472983,0.454472983,NA,MTBLS11904,Down in PD,1,FALSE,FALSE
IK_ONFOSYPQQXJWGS-UHFFFAOYSA-N,(+/-)-2-Hydroxy-4-(methylthio)butanoic acid,(+/-)-2-Hydroxy-4-(methylthio)butanoic acid | 2-Hydroxy-4-(methylthio)butanoic acid,ONFOSYPQQXJWGS-UHFFFAOYSA-N,C5H10O3S,1,1,1,0,0.454306886,0.454306886,0.454306886,NA,MTBLS11904,Up in PD,1,FALSE,FALSE
IK_SAWKFRBJGLMMES-UHFFFAOYSA-N,PC 16:0/9:0 CHO,PC 16:0/9:0 CHO,SAWKFRBJGLMMES-UHFFFAOYSA-N,CH5P,1,1,1,0,0.454175893,0.454175893,0.454175893,0.0371,37755270,Up in PD,1,FALSE,FALSE
NO_INCHIKEY__pc 18 2 20 4,PC 18:2_20:4,PC 18:2_20:4,NA,NA,1,1,1,0,0.454175893,0.454175893,0.454175893,4.49e-5,37755270,Up in PD,1,FALSE,FALSE
UNKNOWN_ROW__24167579__unknown_175,unknown_175,unknown_175,NA,NA,1,1,1,0,0.454175893,0.454175893,0.454175893,NA,24167579,Up in PD,1,FALSE,FALSE
IK_FUGYGGDSWSUORM-UHFFFAOYSA-N,4-Hydroxystyrene,4-Hydroxystyrene,FUGYGGDSWSUORM-UHFFFAOYSA-N,C8H8O,1,1,0,1,-0.454031631,-0.454031631,0.454031631,NA,24167579,Down in PD,1,FALSE,FALSE
IK_UCUNFLYVYCGDHP-BYPYZUCNSA-N,methionine sulfone,methionine sulfone,UCUNFLYVYCGDHP-BYPYZUCNSA-N,C5H11NO4S,1,1,0,1,-0.454031631,-0.454031631,0.454031631,0.00306,38720721,Down in PD,1,FALSE,FALSE
IK_WCRMUYBCGFGNRR-LTFXTMEVSA-N,PC O-42:4,PC O-42:4,WCRMUYBCGFGNRR-LTFXTMEVSA-N,C50H94NO7P,1,1,0,1,-0.454031631,-0.454031631,0.454031631,1.99e-4,37755270,Down in PD,1,FALSE,FALSE
IK_XHLKZBFZGPVOIC-ZPHPHTNESA-N,2-OAHSA,2-OAHSA,XHLKZBFZGPVOIC-ZPHPHTNESA-N,C36H68O4,1,1,0,1,-0.454031631,-0.454031631,0.454031631,NA,37755270,Down in PD,1,FALSE,FALSE
IK_XZDDLHQSVWZOPD-MYGLTJDJSA-N,Tumonoic Acid H,Tumonoic Acid H,XZDDLHQSVWZOPD-MYGLTJDJSA-N,C26H45NO7,1,1,0,1,-0.454031631,-0.454031631,0.454031631,NA,24167579,Down in PD,1,FALSE,FALSE
