entity_id,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24
IK_OLAOWMDKXPIITQ-UHFFFAOYSA-N,-1.5166727,0.88203996,0.38650507,-1.165389,-2.1588964,1.0073993,-1.3309898,0.46586215,-1.4747528,-0.06342915,-2.0157924,0.369554,-1.2358943,0.21776876,0.62040865,-0.29312694,0.10126765,1.0982121,-0.1359228,-2.2029636,-0.9660701,1.6453599,-1.6576654,-0.43615198
IK_OLBNOBQOQZRLMP-UHFFFAOYSA-N,-1.2693868,1.641641,-0.2752559,0.25135082,0.14660183,-2.183007,1.2955173,-2.112892,-1.1687486,-2.6678545,-0.27859652,-2.4508731,-1.5789728,2.5284553,0.10491178,2.1438956,-0.3316896,1.8616934,-0.80465585,0.70676214,2.9953012,-0.7219012,-0.20144871,0.83770776
IK_OLNJUISKUQQNIM-UHFFFAOYSA-N,4.910487,0.007853743,-0.16440214,1.0065606,2.4223914,4.768679,-0.33121485,1.9560692,2.0080762,-0.7374722,1.25799,3.2499487,1.7080405,-1.8791587,2.074318,-1.2272389,0.3959849,-2.135193,-0.87318504,0.5712586,-0.58777994,0.79603046,-0.0057041347,-0.18283282
IK_OLNTVTPDXPETLC-XPWALMASSA-N,0.5211128,1.4850442,0.63362193,3.1313548,0.80868334,-0.7814953,1.3332281,-0.6069114,-2.8596666,-2.9217393,1.7908542,-4.0819745,-1.4028444,0.5934998,-1.6321769,0.8295998,-1.3721929,-1.0587614,-0.6959519,2.2437897,3.3523667,-1.5773612,-3.2524064,1.8805758
IK_OLVZVPBWPSBRNF-UHFFFAOYSA-N,4.768875,0.31077725,3.384226,2.312066,-0.53621006,4.461293,-2.7104323,3.9531941,3.1691241,1.2257057,1.6762419,5.368811,0.31445867,-1.563646,-1.3134278,-2.7163181,3.184247,-1.2622825,-0.0032887124,0.046638783,1.0500169,-0.09467158,1.473744,3.2109458
IK_OLXZPDWKRNYJJZ-RRKCRQDMSA-N,-3.5080462,-2.5087764,2.2062707,1.6823039,-0.709006,-5.6886926,-0.40138468,-0.7998702,1.461691,3.8004324,1.0593233,-0.44453648,1.4055977,2.6291182,-4.321606,-0.3530226,0.08555962,0.15960224,-0.44630548,1.9824371,0.63126564,-3.0311778,3.3351164,3.62947
IK_OMFXVFTZEKFJBZ-HJTSIMOOSA-N,-0.11092642,0.44074082,-3.1322849,-1.7155151,2.190818,2.5787024,1.1128502,-0.9521569,-0.5116143,-0.70859694,-1.4951003,-0.94716847,1.1822307,-0.077003375,4.2065,-0.026805284,-1.3783731,-0.47257662,-1.496068,-1.2095764,-2.228719,2.7061846,-1.7817508,-3.486356
IK_OMHUCGDTACNQEX-OSHKXICASA-N,-2.6665518,-1.3372247,-2.081972,-2.6595397,0.28198838,-1.7502242,0.6914602,-2.29668,-0.24972737,-0.7360672,-1.3159791,-1.9202018,-0.6484218,-0.89723563,0.05957856,1.3615916,-0.6351527,2.336886,0.66488314,-1.7655371,-1.3359169,-0.5773146,-0.6191664,-2.1155891
IK_OMISYDASOKPVDK-UHFFFAOYSA-N,1.1730702,-0.13553631,1.7804384,2.6569932,1.1983755,-2.5289648,1.9489965,-2.7645574,1.5960741,-1.7183378,1.5603863,-2.5106704,-2.3851786,1.878193,-2.8721101,3.9281754,0.7755745,2.3584332,0.20933615,3.1808562,5.357597,-2.825259,1.7748451,3.827347
IK_OMLWNBVRVJYMBQ-YUMQZZPRSA-N,2.1045747,0.9124444,1.6140119,3.314046,-0.3532863,3.8883355,-0.2686616,-0.79102373,-0.45175618,-0.46842095,-2.4258065,-0.108995624,-0.24797866,0.42527574,1.7097896,0.9983752,-2.1702492,-0.10915692,1.4300388,-0.04246989,-0.9611775,1.7048997,-1.8487524,0.973716
