epoch,kl_beta,total,binary,mz,kl,clf
1,0.013333333333333334,21.86633460705097,0.45018883301661566,0.8221513005403372,2.0466036684130535,4.113341313142043
2,0.02666666666666667,15.225911243145282,0.22378095434262202,0.45561185066516585,3.8273294889009914,2.888891256772555
3,0.04000000000000001,13.068370672372671,0.2231268211052968,0.3578665478871419,4.712900000352126,2.4597722585384663
4,0.05333333333333334,11.638834249056302,0.217719877912448,0.2818402795837476,4.8959280931032625,2.1756315909899198
5,0.06666666666666667,10.69587554198045,0.20499729674596054,0.2053557426883624,4.794779443740845,1.9931741054241474
6,0.08000000000000002,9.98936418386606,0.1983847872569011,0.1680616550720655,4.5545747793637785,1.8517103580328134
7,0.09333333333333334,9.334709314199594,0.19366585910320283,0.16954340820129102,4.311479010948768,1.7138190599588248
8,0.10666666666666667,8.711375566629263,0.19370271976177508,0.16923025250434875,3.9085018744835485,1.5863071505840007
9,0.12,8.27793562228863,0.19081200842673962,0.1796723953806437,3.6801278884594257,1.493167170194479
10,0.13333333333333333,7.784501427870531,0.1892498853114935,0.17564081893517422,3.5092052056239202,1.3903433240376986
11,0.14666666666666667,7.6751023806058445,0.18505295102412883,0.17370425508572504,3.324641642203698,1.365746220258566
12,0.16000000000000003,7.329122957816491,0.1835338952449652,0.16783975901512,3.1038974908682015,1.2962251452299265
13,0.17333333333333334,7.078418020101694,0.1822906480385707,0.17558921346297632,3.0301494561708893,1.2390624458973225
14,0.18666666666666668,6.8378762978773855,0.18136262779052442,0.1747077110868234,2.976199414179875,1.1852497522647565
15,0.2,6.673102569580078,0.17910729967630826,0.17342678904533387,2.703432849737314,1.1559763780006995
16,0.2,6.478623734987699,0.17922474902409774,0.17204357993144256,2.658075483028705,1.1191480563237117
17,0.2,6.368817373422476,0.17924895584583284,0.17308301490086775,2.665672206878662,1.0966701883536119
18,0.2,5.974434922291683,0.17878968486419092,0.17957443239597173,2.5514148235321046,1.0211575741951282
19,0.2,6.094477099638719,0.1778522979754668,0.17345521839765402,2.589861066524799,1.0450394777151255
20,0.2,5.7107022578899675,0.1768237971342527,0.17880086635167783,2.5716148981681237,0.9681509274702805
21,0.2,5.685932152087872,0.1763364241673396,0.16884329869196965,2.4564326726473293,0.9698931675690871
22,0.2,5.438359876779409,0.17500186952260824,0.18102827954750794,2.4450058166797346,0.9186657126133259
23,0.2,5.280170242603009,0.1738703205035283,0.1732730522751808,2.518503104723417,0.8858652463326088
24,0.2,5.331503857099093,0.17409246334662803,0.17075515985488893,2.4345336345525888,0.8999499036715581
25,0.2,5.320346725904025,0.1749309695683993,0.1780512288212776,2.4712704511789174,0.8946220856446486
26,0.2,5.228054915941678,0.1748894338424389,0.16985684289382055,2.464821377167335,0.8780688725985013
27,0.2,4.809690024302556,0.17367230034791506,0.16405907296217404,2.4458801691348735,0.7965565190865443
28,0.2,4.9079880641056945,0.1739981119449322,0.17183716136675614,2.3828874202874992,0.8171150569732373
29,0.2,4.707976348583514,0.17354115843772888,0.17096204115794256,2.431378252689655,0.7754394943897541
30,0.2,4.811019985492413,0.173282934152163,0.16579187523860198,2.3838031695439263,0.7990369081497193
31,0.2,4.662509188285241,0.17259080708026886,0.15961636843589636,2.388746135051434,0.7705105598156269
32,0.2,4.511889538398155,0.1731456995010376,0.1723675100849225,2.3364108085632322,0.7398188359462298
33,0.2,4.500610340558565,0.17312091268025911,0.16828232946304175,2.288953296954815,0.7402832815280327
34,0.2,4.153448682564956,0.17220580394451435,0.1686458306816908,2.351390921152555,0.6684637709305836
35,0.2,4.371824833062979,0.17172487744918236,0.17382553322957112,2.31644105727856,0.712597243143962
36,0.2,4.249258079895607,0.17035200962653527,0.1590181529521942,2.3125988795207095,0.6914736307584323
