epoch,kl_beta,total,binary,mz,kl,clf
1,0.013333333333333334,20.247512450585,0.5058459011407999,0.9148847387387202,0.7421983096282929,3.7633771676283616
2,0.02666666666666667,17.112500278766337,0.2156875328375743,0.38131756667907424,1.694311994772691,3.294062717144306
3,0.04000000000000001,16.283267666743352,0.1836500706580969,0.26346059166468105,1.7785324610196627,3.1530031589361336
4,0.05333333333333334,15.528917899498573,0.18727681476336258,0.22259888832385724,1.8314224811700675,3.0042732660587017
5,0.06666666666666667,14.961475108220027,0.19185932691280658,0.2532545434740873,1.8793258061775795,2.8782145775281465
6,0.08000000000000002,14.087421131134032,0.19273040753144485,0.21008553814429504,1.7874150331203753,2.7083224039811356
7,0.09333333333333334,13.562700139559233,0.1969551783341628,0.20362583708304624,1.8822394407712497,2.5972886773256154
8,0.10666666666666667,12.720797459895794,0.19412089036061214,0.24240325482992026,1.8501125042255109,2.4173855955784136
9,0.12,12.222598582047683,0.19288899142008561,0.2038437625536552,1.993223155461825,2.3173358073601356
10,0.13333333333333333,12.462259424649751,0.18656011109168713,0.22231007516384124,1.9828089035474337,2.3578029504189124
11,0.14666666666666667,11.55770758482126,0.1798102028094805,0.2029081587608044,1.9050366438352144,2.179116767186385
12,0.16000000000000003,11.42797486965473,0.17591505830104534,0.20287195558731372,1.9819559161479656,2.1464149713516236
13,0.17333333333333334,10.929994289691631,0.17260973912018995,0.19324015218477983,1.8783059010138878,2.0477142957540657
14,0.18666666666666668,10.345178963587834,0.17315989549343402,0.1831575182768015,1.8944893653576191,1.9270446979082547
15,0.2,9.435081107799823,0.1708771554323343,0.19704183431772085,2.0134345604823185,1.732895016670227
16,0.2,9.968054896134596,0.17178911727208357,0.17309058549312445,1.8260244846343994,1.8515940712048458
17,0.2,9.626337352165809,0.1708719070141132,0.178829265328554,1.900421773470365,1.7793103653651017
18,0.2,9.623999698345477,0.17089007038336534,0.1759454607963562,1.8587247610092164,1.7810838515941914
19,0.2,8.352844208937425,0.16987878152957328,0.1600300058722496,1.9739482256082388,1.525629157286424
20,0.2,8.810878669298612,0.17115157934335562,0.16337933104771835,1.9155780205359825,1.618646419965304
