entity_id,canonical_metabolite,primary_pathway
IK_KVXSPXCUAWCXEI-UHFFFAOYSA-N,(2S)-2-Amino-6-[(3-formylpiperidin-1-yl)amino]hexanoic acid,One carbon pool by folate
IK_KXGVEGMKQFWNSR-LLQZFEROSA-N,deoxycholic acid,Primary bile acid biosynthesis
IK_KXSPLNAXPMVUEC-NCOIDOBVSA-N,Uridine - H2O,Pyrimidine metabolism
IK_KYICBZWZQPCUMO-PSALXKTOSA-N,SM(d18:1/14:0),One carbon pool by folate
IK_KZSNJWFQEVHDMF-BYPYZUCNSA-N,L-Valine,"Valine, leucine and isoleucine biosynthesis"
IK_KZSNJWFQEVHDMF-UHFFFAOYNA-N,Valine,"Valine, leucine and isoleucine biosynthesis"
IK_LAXQYRRMGGEGOH-JXRLJXCWSA-N,"LysoPC(20:4(5Z,8Z,11Z,14Z)/0:0)",Glycerophospholipid metabolism
IK_LCTONWCANYUPML-UHFFFAOYSA-N,Pyruvic Acid,Arginine and proline metabolism
IK_LEBBDRXHHNYZIA-LDUWYPJVSA-N,Galactocerebroside,Sphingolipid metabolism
IK_LEHOTFFKMJEONL-UHFFFAOYSA-N,Uric acid,Purine metabolism
IK_LEOVWDSHDAVANJ-UHFFFAOYSA-N,4-Hydroxy benzenepropanedioate,Arginine biosynthesis
IK_LEVWYRKDKASIDU-IMJSIDKUSA-N,L-Cystine,Cysteine and methionine metabolism
IK_LEVWYRKDKASIDU-UHFFFAOYNA-N,Cystine,Cysteine and methionine metabolism
IK_LFTRJWKKLPVMNE-RCBQFDQVSA-N,Valyl-prolyl-glycyl-valyl-glycine,Glycerophospholipid metabolism
IK_LJARBVLDSOWRJT-PSXMRANNSA-N,PC(15:0/15:0),Linoleic acid metabolism
IK_LJIFHMULTXIFNU-KAMIUYGRSA-N,"PE(18:1(11Z)/20:4(5Z,8Z,11Z,14Z))",Glycerophospholipid metabolism
IK_LKDRXBCSQODPBY-VRPWFDPXSA-N,D-Fructose,Starch and sucrose metabolism
IK_LKNPFOZIOWXDQS-UHFFFAOYSA-N,Dehydrochorismic acid,Sphingolipid metabolism
IK_LLCPFVIBUZJITJ-GVEMAFOVSA-N,2-Methoxy-estradiol-17b 3-glucuronide,Steroid hormone biosynthesis
IK_LLLPDUXGHXIXIW-UHFFFAOYSA-N,N-formylanthranilic acid,Tryptophan metabolism
IK_LOIYMIARKYCTBW-OWOJBTEDSA-N,Urocanic acid,Histidine metabolism
IK_LOJUQFSPYHMHEO-SGHXUWJISA-N,Ubiquinol-8,Ubiquinone and other terpenoid-quinone biosynthesis
IK_LRFVTYWOQMYALW-UHFFFAOYSA-N,Xanthine,Purine metabolism
IK_LRTCKJJOUNZFDD-DBHIXKHWSA-N,"PA(20:2(11Z,14Z)/18:1(9Z))",Glycerophospholipid metabolism
IK_LTCLZQOHPYRNCF-UHFFFAOYSA-N,6-Hydroxyindoxyl sulfate,Arginine biosynthesis
IK_LVNGJLRDBYCPGB-LDLOPFEMSA-N,PE(18:0/18:0),Glycerophospholipid metabolism
IK_LWWIYCLYWKAKRR-HSUXUTPPSA-N,"(2R,3R,4R)-Hexane-1,2,3,4,6-pentol",Arginine biosynthesis
IK_LXNHXLLTXMVWPM-UHFFFAOYSA-N,Pyridoxine,Vitamin B6 metabolism
IK_LYFMZJCIGLZMJF-IRSYNFPBSA-N,"PE(P-16:0/22:2(13Z,16Z))",Linoleic acid metabolism
IK_LZCOQTDXKCNBEE-RUTJIGONSA-N,"3-Oxa-9-azoniatricyclo[3.3.1.02,4]nonane, 9-ethyl-7-hydroxy-9-methyl-",Linoleic acid metabolism
IK_LZLVZIFMYXDKCN-QJWFYWCHSA-N,GPCho(20:4/20:4),Linoleic acid metabolism
IK_LZRYNUIYHHQTRL-NBZVOYHKSA-N,"Lisinopril, epsilon-biotinamidocaproyl-",Linoleic acid metabolism
IK_MBMBGCFOFBJSGT-KUBAVDMBSA-N,Docosahexaenoic Acid,Biosynthesis of unsaturated fatty acids
IK_MCKLJFJEQRYRQT-APGJSSKUSA-N,20alpha-Hydroxycholesterol,Steroid hormone biosynthesis
IK_MCMLHDBHZRLOED-SFYZADRCSA-N,Ornithine [+CO2],Tyrosine metabolism
IK_MEZHYUGWUQWXOK-QPPIDDCLSA-N,PGP(i-12:0/i-22:0),Glycerophospholipid metabolism
IK_MFNAKLLYSPINFZ-UHFFFAOYSA-N,"6-Methylpteridine-2,4-diamine",Glycerophospholipid metabolism
IK_MFYSYFVPBJMHGN-ZPOLXVRWSA-N,Cortisone,Steroid hormone biosynthesis
IK_MHDVGSVTJDSBDK-UHFFFAOYSA-N,Dibenzyl ether,Fatty acid degradation
IK_MJEVTNQRFPLLCH-QECOYPFHSA-N,"DG(18:3(9Z,12Z,15Z)/15:0/0:0)",Glycerophospholipid metabolism
IK_MJLXQSQYKZWZCB-AKNKGCNLSA-N,Linoelaidylcarnitine,Sphingolipid metabolism
IK_MJZYBROJFJAPOE-UHFFFAOYSA-N,Stigmastanediol,Glycerophospholipid metabolism
IK_MNMKDPGRWWQDGI-UHFFFAOYSA-N,Dillanoside,Glycerophospholipid metabolism
IK_MPSATYYKSWVJNQ-NSZXNXEKSA-N,PA(6 keto-PGF1alpha/14:1(9Z)),Glycerophospholipid metabolism
IK_MRNRLEVLPFVWRY-UHFFFAOYSA-N,Saringosterol 3-glucoside,Glycerophospholipid metabolism
IK_MROJXXOCABQVEF-UHFFFAOYSA-N,Actarit,Linoleic acid metabolism
IK_MRPDHXXPDCVBPQ-AATRIKPKSA-N,"(3S,5R,6S,7E,9x)-7-Megastigmene-3,6,9-triol 9-glucoside",Linoleic acid metabolism
IK_MRRFMOUCAPXWJC-SSCJOAGESA-N,"PC(18:1(11Z)/18:3(6Z,9Z,12Z))",Glycerophospholipid metabolism
IK_MRUAUOIMASANKQ-UHFFFAOYSA-N,Cocamidopropyl Betaine,Linoleic acid metabolism
IK_MSWZFWKMSRAUBD-IVMDWMLBSA-N,D-Glucosamine,Amino sugar and nucleotide sugar metabolism
IK_MTCFGRXMJLQNBG-REOHCLBHSA-N,L-Serine,"Glycine, serine and threonine metabolism"
IK_MTCFGRXMJLQNBG-UHFFFAOYNA-N,Serine,"Glycine, serine and threonine metabolism"
IK_MTCFGRXMJLQNBG-UWTATZPHSA-N,D-serine,"Glycine, serine and threonine metabolism"
IK_MUFCQFFNARPCRX-DAZBTBHLSA-N,DG(PGE2/16:0/0:0),Glycerophospholipid metabolism
IK_MUMXFARPYQTTSL-BQBZGAKWSA-N,Met-Gln,Glycerophospholipid metabolism
IK_MVOYJPOZRLFTCP-UHFFFAOYSA-N,1-Methylxanthine,Caffeine metabolism
IK_MYVYPSWUSKCCHG-UHFFFAOYSA-N,Tryptophyl-Serine,Steroid biosynthesis
IK_MYYIAHXIVFADCU-QMMMGPOBSA-N,Anserine,Histidine metabolism
IK_NANHIUZYPFDGJS-UHFFFAOYSA-N,4-Decan-4-Ylbenzenesulfonic Acid,Sphingolipid metabolism
IK_NBIIXXVUZAFLBC-UHFFFAOYSA-K,Phosphate,One carbon pool by folate
IK_NBSCHQHZLSJFNQ-QTVWNMPRSA-N,D-Mannose 6-Phosphate,Amino sugar and nucleotide sugar metabolism
IK_NCBOXCFFSWALMZ-XTNBEGJDSA-N,Bergenin Pentaacetate,Linoleic acid metabolism
IK_NCGLTZSBTFVVAW-KNXRZYMVSA-N,Minaxolone,Linoleic acid metabolism
IK_NHZMQXZHNVQTQA-UHFFFAOYSA-N,Pyridoxamine,Vitamin B6 metabolism
IK_NIPLIJLVGZCKMP-UHFFFAOYSA-M,Neurine,"Glycine, serine and threonine metabolism"
IK_NJHKGJJIKOCCMZ-YMIVKDKMSA-N,PE(22:4/0:0),Glutathione metabolism
IK_NKRLKOMBOSWILK-PLACYPQZSA-N,Kinetensin 4-7,Glutathione metabolism
IK_NNAIYOXJNVGUOM-UHFFFAOYSA-N,Amperozide,Ascorbate and aldarate metabolism
IK_NNEIBJNHWVDJBA-GYSLYLNXSA-N,Deoxycholic acid 3-glucuronide,Ascorbate and aldarate metabolism
IK_NOIIUHRQUVNIDD-UHFFFAOYSA-N,Nialamide,Tryptophan metabolism
IK_NQPDZGIKBAWPEJ-UHFFFAOYSA-N,Valeric acid,Arginine biosynthesis
IK_NQRYJNQNLNOLGT-UHFFFAOYSA-N,Piperidine,Lysine degradation
IK_NRJAVPSFFCBXDT-HUESYALOSA-N,phosphatidylcholine,Linoleic acid metabolism
IK_NTBDNAWCQLUDHG-CEGBOXLASA-N,PE P-36:4 or PE O-36:5,Sphingolipid metabolism
IK_NUCLJNSWZCHRKL-UHFFFAOYSA-N,allantoic acid,Purine metabolism
IK_NUDXOGPEQRPSKT-MVOZTAHOSA-N,FA 18:3 (y-linolenic acid),Sphingolipid metabolism
IK_NWWJFMCCTZLKNT-UHFFFAOYSA-N,Dihydrothiazine,Sphingolipid metabolism
IK_NXJAXUYOQLTISD-UHFFFAOYSA-N,O-Glutarylcarnitine,Sphingolipid metabolism
IK_NXYCBMGKNCJXIC-CNEMSGBDSA-N,Bz-Camp,Glycerophospholipid metabolism
IK_NYHBQMYGNKIUIF-UUOKFMHZSA-N,Guanosine,Purine metabolism
IK_NYLNHNDMNOPWAZ-ZLEFDVGRSA-N,Blumenol C glucoside,Glycerophospholipid metabolism
IK_OAMCCJASDLMTOO-UHFFFAOYSA-N,"3,4-Bis(7-chloroindol-3-yl)pyrrole-2,5-dicarboxylate",Sphingolipid metabolism
IK_OAQGPAZDRCBBLD-YTCWWFNZSA-N,"17-phenyl-18,19,20-trinor-prostaglandin D2",Sphingolipid metabolism
IK_ODBLHEXUDAPZAU-UHFFFAOYSA-N,isocitric acid,Citrate cycle (TCA cycle)
IK_ODHCTXKNWHHXJC-GSVOUGTGSA-N,(R)-(+)-2-Pyrrolidone-5-carboxylic acid,D-Amino acid metabolism
IK_ODHCTXKNWHHXJC-VKHMYHEASA-N,L-Pyroglutamic acid,Glutathione metabolism
IK_ODKSFYDXXFIFQN-BYPYZUCNSA-N,L-Arginine,Arginine biosynthesis
IK_ODKSFYDXXFIFQN-SCSAIBSYSA-N,D-Arginine,D-Amino acid metabolism
IK_ODKSFYDXXFIFQN-UHFFFAOYSA-N,Arginine,Arginine biosynthesis
IK_OECTYKWYRCHAKR-UHFFFAOYSA-N,4-Vinylcyclohexene dioxide,Steroid hormone biosynthesis
IK_OEYIOHPDSNJKLS-UHFFFAOYSA-N,Choline,"Glycine, serine and threonine metabolism"
IK_OFOBLEOULBTSOW-UHFFFAOYSA-N,Malonic acid,Fatty acid biosynthesis
IK_OIPILFWXSMYKGL-UHFFFAOYSA-N,Acetylcholine,Glycerophospholipid metabolism
IK_OIRDTQYFTABQOQ-KQYNXXCUSA-N,Adenosine,One carbon pool by folate
IK_OISFHODBOQNZAG-IAGOWNOFSA-N,Floionolic acid,Glycerophospholipid metabolism
IK_OJZPOIMVTVAAOR-LVGJWKLPSA-N,PC O-44:8 or PC 44:8e,Glycerophospholipid metabolism
IK_OLXZPDWKRNYJJZ-RRKCRQDMSA-N,Deoxyadenosine,Purine metabolism
IK_OMFXVFTZEKFJBZ-HJTSIMOOSA-N,Corticosterone,Steroid hormone biosynthesis
IK_OMYMRCXOJJZYKE-UHFFFAOYSA-N,6-Hydroxymelatonin,Tryptophan metabolism
IK_ONIBWKKTOPOVIA-BYPYZUCNSA-N,L-Proline,Arginine and proline metabolism
IK_ONIBWKKTOPOVIA-UHFFFAOYNA-N,Proline,Arginine and proline metabolism
IK_ONWMQORSVZYVNH-UHFFFAOYSA-N,Tyrosyl-Asparagine,Ascorbate and aldarate metabolism
IK_OSJPPGNTCRNQQC-UHFFFAOYSA-N,3-phosphoglycerate,"Glycine, serine and threonine metabolism"
IK_OSRWIBSZJTWIKA-JLNKQSITSA-N,LPE 22:5,"Alanine, aspartate and glutamate metabolism"
IK_OTBMMWCXBVNALT-AMOZBRKMSA-N,"PE-NMe(20:4(8Z,11Z,14Z,17Z)/24:0)","Alanine, aspartate and glutamate metabolism"
IK_OTCCIMWXFLJLIA-BYPYZUCNSA-N,N-Acetylaspartic acid,"Alanine, aspartate and glutamate metabolism"
IK_OTKJDMGTUTTYMP-ZWKOTPCHSA-N,Sphinganine,Sphingolipid metabolism
IK_OTSBKHHWSQYEHK-UHFFFAOYSA-N,"1,3-Dimethylurate",Glycerophospholipid metabolism
IK_OUDSFQBUEBFSPS-UHFFFAOYSA-N,N-(Carboxymethyl)-N-(2-((carboxymethyl)amino)ethyl)glycine,Glycerophospholipid metabolism
IK_OUICDHFBMJCDTL-GHRIWEEISA-N,Notoginsenoside T1,Retinol metabolism
IK_OUYCCCASQSFEME-QMMMGPOBSA-N,L-Tyrosine,Tyrosine metabolism
IK_OUYCCCASQSFEME-UHFFFAOYNA-N,Tyrosine,Tyrosine metabolism
IK_OVBKVWSHXDCSTK-UHFFFAOYSA-N,24-Hydroxytetracosanoic acid,Retinol metabolism
IK_OVBOQVAIYMSUDT-HRYGCDPOSA-N,"All-trans-13,14-dihydroretinol",Retinol metabolism
IK_OVRNDRQMDRJTHS-OZRXBMAMSA-N,N-acetylmannosamine,Amino sugar and nucleotide sugar metabolism
IK_OYHQOLUKZRVURQ-HZJYTTRNSA-N,Linoleic acid,Linoleic acid metabolism
IK_OYIFNHCXNCRBQI-UHFFFAOYSA-N,Aminoadipic acid,Lysine degradation
IK_PABVKUJVLNMOJP-UHFFFAOYSA-M,Glutamyl-Cysteine,Glycerophospholipid metabolism
IK_PAHMCFUSNIRFHK-UKPQPXGPSA-N,DG(PGE2/12:0/0:0),Glycerophospholipid metabolism
IK_PBBWIAQSYZNWPA-UHFFFAOYSA-N,(2S)-2-Amino-5-(diaminomethylideneamino)-4-methylpentanoic acid,Glycerophospholipid metabolism
IK_PBROMOQAZGFDHQ-GPQOMLTASA-N,SM d43:2,Glycerophospholipid metabolism
IK_PCBVVHMKRNVSDR-YJNXUYHJSA-N,"PE(18:1(9Z)/18:3(9Z,12Z,15Z))",Pantothenate and CoA biosynthesis
IK_PCXDJQZLDDHMGX-UHFFFAOYSA-N,3-Aminopropionaldehyde,Glycerophospholipid metabolism
IK_PDWIQYODPROSQH-PYHARJCCSA-N,Deoxyribose,Pentose phosphate pathway
IK_PEDCQBHIVMGVHV-UHFFFAOYSA-N,glycerol,Glycerophospholipid metabolism
IK_PFWLFWPASULGAN-UHFFFAOYSA-N,7-Methylxanthine,Caffeine metabolism
IK_PHENTZNALBMCQD-UHFFFAOYSA-N,3-ureido-isobutyrate,Glycerophospholipid metabolism
IK_PHOSLXGWIIWDIE-IUFKAHDJSA-N,SM 20:0;2O/18:2,Glycerophospholipid metabolism
IK_PLOUQIGEQKCKHG-UHFFFAOYSA-N,3-Methylazelaic acid,Linoleic acid metabolism
IK_PLSQMGZYOGSOCE-XINAWCOVSA-N,Dihydroneopterin phosphate,Folate biosynthesis
IK_PMTMAFAPLCGXGK-JMTMCXQRSA-N,12-oxo-PDA,Starch and sucrose metabolism
IK_PNEJUHLZEPRMHF-UHFFFAOYSA-N,6-Hydroxypentadecanedioic acid,Linoleic acid metabolism
IK_PNHLMHWWFOPQLK-BKUUWRAGSA-N,GDP-4-Dehydro-6-deoxy-D-mannose,Fructose and mannose metabolism
IK_POULHZVOKOAJMA-UHFFFAOYSA-N,lauric acid,Fatty acid biosynthesis
IK_PQSUYGKTWSAVDQ-ZVIOFETBSA-N,Aldosterone,Steroid hormone biosynthesis
IK_PTGGMPLMNDBPGB-CXISOLTFSA-N,N-methylsphingosine,Nicotinate and nicotinamide metabolism
IK_PVNIIMVLHYAWGP-UHFFFAOYSA-N,nicotinic acid,Nicotinate and nicotinamide metabolism
IK_PWSKCIUNCJJBIX-RXDOKCLVSA-N,PG(5-iso PGF2VI/a-13:0),Linoleic acid metabolism
IK_PXQPEWDEAKTCGB-UHFFFAOYSA-N,Orotic acid,Pyrimidine metabolism
IK_PXVMEXBCFJTGCL-RCHUDCCISA-N,N-Eicosapentaenoyl Phenylalanine,Linoleic acid metabolism
IK_PYVRVRFVLRNJLY-MZMPXXGTSA-N,PE(18:1/0:0),Glycerophospholipid metabolism
IK_PYZZIILDSAJNLZ-QZNPSGCDSA-N,Melibiitol,Galactose metabolism
IK_PZHOVOCGVTXFSM-DOFZRALJSA-N,LPC 42:4,Glycerophospholipid metabolism
IK_PZPIQUZUJADGQZ-NSCUHMNNSA-N,Polyanethole-sulfate,Glycerophospholipid metabolism
IK_PZRFVAHZNWPPAC-VBKSFVIKSA-N,PC(18:1/0:0),Purine metabolism
IK_QAXHWUAAPKHMGA-UHFFFAOYSA-N,PI 36:4|PI 16:0_20:4,Tryptophan metabolism
IK_QCDYOIZVELGOLZ-UHFFFAOYSA-N,Salvigenin,Tryptophan metabolism
IK_QCGTZPZKJPTAEP-REDYYMJGSA-N,2-Aminomuconic acid semialdehyde,Tryptophan metabolism
IK_QFDRTQONISXGJA-UHFFFAOYSA-N,1-Methyluric acid,Caffeine metabolism
IK_QGNYWQOMJSTUQZ-BQBZGAKWSA-N,Aspartylysine [-H2O],Purine metabolism
IK_QHKABHOOEWYVLI-UHFFFAOYSA-N,Ketoisovaleric acid,"Valine, leucine and isoleucine biosynthesis"
IK_QHVMVGMCKWPDHT-UHFFFAOYSA-N,Fluorescein thiohydantoin,Linoleic acid metabolism
IK_QHWZTVCCBMIIKE-SHYZEUOFSA-N,DUDP,Pyrimidine metabolism
IK_QIBZFHLFHCIUOT-NPBIGWJUSA-N,PC 32:1,Glycerophospholipid metabolism
IK_QIJPWSGHURHDHJ-UHFFFAOYSA-N,2-n-Propylthiazolidine-4-carboxylic acid,Glycerophospholipid metabolism
IK_QIQXTHQIDYTFRH-UHFFFAOYSA-N,Stearic acid,Biosynthesis of unsaturated fatty acids
IK_QIVBCDIJIAJPQS-VIFPVBQESA-N,Tryptophan,Tryptophan metabolism
IK_QKAITYIDZJJULL-UHFFFAOYSA-N,"2-[(5-bromopyridin-2-yl)amino]-4-methyl-N-propyl-1,3-thiazole-5-carboxamide",Linoleic acid metabolism
IK_QKNCKSQAXGWPIK-FOWTUZBSSA-N,Caffeoylcycloartenol,Linoleic acid metabolism
IK_QNAYBMKLOCPYGJ-REOHCLBHSA-N,L-Alanine,"Alanine, aspartate and glutamate metabolism"
IK_QRMZSPFSDQBLIX-UHFFFAOYSA-N,Homovanillic acid,Tyrosine metabolism
IK_QUNWUDVFRNGTCO-UHFFFAOYSA-N,para-xanthine,Caffeine metabolism
IK_QVHPTAJAHUONLV-DYKIIFRCSA-N,"5,16-Androstadien-3beta-ol",Glycerophospholipid metabolism
IK_QVMUHZHZYCDMAI-RYUDHWBXSA-N,Austdiol,Cysteine and methionine metabolism
IK_QVRLHIRFLRXFIW-MLDHBKOMSA-N,Vertilmicin,Glycerophospholipid metabolism
IK_QVZHZVWYFNADIO-BATPLZQESA-N,3'-Ketolactose,Cysteine and methionine metabolism
IK_QWCKQJZIFLGMSD-VKHMYHEASA-N,L-2-Aminobutyric acid,Cysteine and methionine metabolism
IK_QWUWMCYKGHVNAV-UHFFFAOYSA-N,"1,2-Diphenylethane",Fatty acid degradation
IK_QXGVRGZJILVMDF-UHFFFAOYSA-N,Tetracosanedioic acid,Sphingolipid metabolism
IK_QYIXCDOBOSTCEI-KKFSNPNRSA-N,Epi-coprostanol,Sphingolipid metabolism
IK_QYTPGOPLNFESQC-NUTQULCTSA-N,PE(P-16:0/0:0),Sphingolipid metabolism
IK_QZAYGJVTTNCVMB-UHFFFAOYSA-N,Serotonin,Tryptophan metabolism
IK_RAGZUCNPTLULOL-KQJPBSFVSA-N,3-Feruloylquinic acid,Linoleic acid metabolism
IK_RALVCBWUWHJOGL-OPMJLWCUSA-N,Myricatomentoside I,Linoleic acid metabolism
IK_RBNPOMFGQQGHHO-UHFFFAOYSA-N,glyceric acid,"Glycine, serine and threonine metabolism"
IK_RCNSAJSGRJSBKK-NSQVQWHSSA-N,Biliverdin,Porphyrin metabolism
IK_RDQUQBHPMYFYMX-XIWVQZPPSA-N,Imidazoleacetic acid ribotide,Glycerophospholipid metabolism
IK_RDZNZFGKEVDNPK-UHFFFAOYSA-N,5-acetylamino-6-formylamino-3-methyluracil,Caffeine metabolism
IK_REAZZDPREXHWNV-UHFFFAOYSA-N,"Aplysiatoxin, 17-debromo-",Glycerophospholipid metabolism
IK_RFDAIACWWDREDC-FRVQLJSFSA-N,N-Choloylglycine,Primary bile acid biosynthesis
IK_RFHSOKOVHMEMLA-JCMJOHBISA-N,TG 46:2,Linoleic acid metabolism
IK_RFMMMVDNIPUKGG-YFKPBYRVSA-N,N-Acetyl-L-Glutamic Acid,Arginine biosynthesis
IK_RFPQMVKZNQOUGY-KXYOHKLBSA-N,PE O-16:1_18:1,Linoleic acid metabolism
IK_RGHMISIYKIHAJW-SSDOTTSWSA-N,Isovanillymandelic acid,Tyrosine metabolism
IK_RGHNJXZEOKUKBD-SQOUGZDYSA-N,gluconic acid,Pentose phosphate pathway
IK_RHGKLRLOHDJJDR-BYPYZUCNSA-N,Citrulline,Arginine biosynthesis
IK_RHQQHZQUAMFINJ-DTDWNVJFSA-N,Tetrahydrocorticosterone,Steroid hormone biosynthesis
IK_RJMIEHBSYVWVIN-UHFFFAOYSA-N,Indoprofen,Pantothenate and CoA biosynthesis
IK_RJTYSXVYCZAUHE-UHFFFAOYSA-N,4-hydroxybenzoic acid-4-O-sulphate,Glycerophospholipid metabolism
IK_RJYQLMILDVERHH-UHFFFAOYSA-N,4-Ipomeanol,Glycerophospholipid metabolism
IK_RJZVWDTYEWCUAR-JOCHJYFZSA-N,LPC 15:0,Purine metabolism
IK_ROHFNLRQFUQHCH-UHFFFAOYNA-N,Leucine,"Valine, leucine and isoleucine biosynthesis"
IK_ROHFNLRQFUQHCH-YFKPBYRVSA-N,L-leucine,"Valine, leucine and isoleucine biosynthesis"
IK_RRKQXBKNDQFCNC-MTGPGUOHSA-N,"1-alpha-methyl-5-alpha-androstan-3-alpha,17-beta-diol glucuronide",Linoleic acid metabolism
IK_RRTPYUGIBQLEDN-FPLPWBNLSA-N,LPE O-16:1,Arachidonic acid metabolism
IK_RRTYEHFGQWNQKK-KIQAWMAPSA-N,12-Keto-tetrahydro-leukotriene B4,Linoleic acid metabolism
IK_RSRDWHPVTMQUGZ-OZIWPBGVSA-N,Pregnan-20-one,Steroid hormone biosynthesis
IK_RUDATBOHQWOJDD-BSWAIDMHSA-N,Chenodeoxycholic Acid,Primary bile acid biosynthesis
IK_RWRDLPDLKQPQOW-UHFFFAOYSA-N,Pyrrolidine,Arginine and proline metabolism
IK_RWVIMCIPOAXUDG-UHFFFAOYSA-N,"6,7-Dinitro-1,4-dihydroquinoxaline-2,3-dione",Glycerophospholipid metabolism
IK_RXFPYNAVFFDUJE-UHFFFAOYSA-N,3-hydroxychlorpropamide,Glycerophospholipid metabolism
IK_RYCNUMLMNKHWPZ-SNVBAGLBSA-N,Lysophosphatidylcholine,Glycerophospholipid metabolism
IK_RYYVLZVUVIJVGH-UHFFFAOYSA-N,Caffeine,Caffeine metabolism
IK_SAAVELCIPHKGJE-UHFFFAOYSA-N,"12-[Methyl-(4-nitro-2,1,3-benzoxadiazol-7-yl)amino]octadecanoic acid",Glycerophospholipid metabolism
IK_SATGKQGFUDXGAX-MYWFJNCASA-N,7alpha-Hydroxy-3-oxo-4-cholestenoate,Primary bile acid biosynthesis
IK_SBJCUZQNHOLYMD-UHFFFAOYSA-N,"1,5-Naphthalene diisocyanate",Porphyrin metabolism
IK_SEOVTRFCIGRIMH-UHFFFAOYSA-N,Indole-3-acetic acid,Tryptophan metabolism
IK_SGLDLWSTFXXDDD-LFSNXOCVSA-N,"PA(14:0/18:1(12Z)-O(9S,10R))",Tyrosine metabolism
IK_SGNZYJXNUURYCH-UHFFFAOYSA-N,Dopamine [-NH3],Tyrosine metabolism
IK_SGTFNLMVIRZWTA-LFCBYZEKSA-N,28-Hydroxywithanolide E,Retinol metabolism
IK_SHGAZHPCJJPHSC-YCNIQYBTSA-N,"all-trans-Retinoic acid1,3",Retinol metabolism
IK_SHZGCJCMOBCMKK-DHVFOXMCSA-N,fucose,Amino sugar and nucleotide sugar metabolism
IK_SIKJAQJRHWYJAI-UHFFFAOYSA-N,INDOLE,Tryptophan metabolism
IK_SKGLAZSLOGYCCA-PEFXOJROSA-N,Neuromedin N (1-4),Glycerophospholipid metabolism
IK_SNICXCGAKADSCV-JTQLQIEISA-N,pyridoxal 5-phosphate,Vitamin B6 metabolism
IK_SOLWMULEXULIEQ-OUQHJZBVSA-N,"PS(20:0/18:1(12Z)-2OH(9,10))",Glycerophospholipid metabolism
IK_SPJAGILXQBHHSZ-UHFFFAOYSA-N,5-Benzylacyclouridine,Glycerophospholipid metabolism
IK_SPURMHFLEKVAAS-UHFFFAOYSA-N,Docosene,Linoleic acid metabolism
IK_SRMRDCIUBMNQNC-MUUNZHRXSA-O,PC(22:6),Glycerophospholipid metabolism
IK_SRRQPVVYXBTRQK-UHFFFAOYSA-N,LPC 17:0,Glycerophospholipid metabolism
IK_SRRQPVVYXBTRQK-XMMPIXPASA-N,PC(17:0/0:0),Steroid hormone biosynthesis
IK_SRXKAYJJGAAOBP-UHFFFAOYSA-N,N(5)-Acetylornithine,Steroid hormone biosynthesis
IK_SSBCZTXGVMMZOT-NBBHSKLNSA-N,"16a-Hydroxyandrost-4-ene-3,17-dione",Steroid hormone biosynthesis
IK_SUHOQUVVVLNYQR-UHFFFAOYSA-N,Glycerophosphocholine,Glycerophospholipid metabolism
IK_SUWZHLCNFQWNPE-LATRNWQMSA-N,Ethylhydrocupreine,Linoleic acid metabolism
IK_SWINWPBPEKHUOD-JPVZDGGYSA-N,2-hydroxyestrone (2-OH-E1),Steroid hormone biosynthesis
IK_SXFSQZDSUWACKX-UHFFFAOYSA-N,2-Oxo-4-methylthiobutanoic acid,Cysteine and methionine metabolism
IK_SXHQUGJSTGOXMD-UHFFFAOYSA-N,6-Thiourate,Drug metabolism - other enzymes
IK_SXKNCCSPZDCRFD-UHFFFAOYSA-N,Betaine aldehyde,"Glycine, serine and threonine metabolism"
IK_TUHVEAJXIMEOSA-UHFFFAOYSA-N,4-GUANIDINOBUTANOATE,Arginine and proline metabolism
IK_TUNFSRHWOTWDNC-UHFFFAOYSA-N,Myristic acid,Fatty acid biosynthesis
IK_TYEYBOSBBBHJIV-UHFFFAOYSA-N,2-Ketobutyric acid,"Valine, leucine and isoleucine biosynthesis"
IK_UAKTZILOYPPNCD-UHFFFAOYSA-N,Annohexocin,Glycerophospholipid metabolism
IK_UARKDOLETOEBCU-UHFFFAOYSA-N,"1,9-Dimethyluric acid",Glycerophospholipid metabolism
IK_UCMIRNVEIXFBKS-UHFFFAOYSA-N,Beta-alanine,Pantothenate and CoA biosynthesis
IK_UCUNFLYVYCGDHP-BYPYZUCNSA-N,methionine sulfone,Glycerophospholipid metabolism
IK_UCYPOAPUDLUXQX-VXOKBQSKSA-N,"MG(22:2(13Z,16Z)/0:0/0:0)",Glycerophospholipid metabolism
IK_UDMBCSSLTHHNCD-KQYNXXCUSA-N,Adenosine 5'-Monophosphate,Purine metabolism
IK_UFBJCMHMOXMLKC-UHFFFAOYSA-N,"2,4-Dinitrophenol",Citrate cycle (TCA cycle)
IK_UFSCUAXLTRFIDC-UHFFFAOYSA-N,"Oxalosuccinate2,3",Citrate cycle (TCA cycle)
IK_UGQMRVRMYYASKQ-KQYNXXCUSA-N,Inosine,Purine metabolism
IK_UGQMRVRMYYASKQ-UHTZMRCNSA-N,Arabinosylhypoxanthine,Sphingolipid metabolism
IK_UHDGCWIWMRVCDJ-XVFCMESISA-N,melatonin,Tryptophan metabolism
