entity_id,canonical_metabolite,primary_pathway
IK_CGGKIILOLKTYHS-LJGQSTEHSA-N,GPEtn(16:1/22:5),Glycerophospholipid metabolism
IK_CGQCWMIAEPEHNQ-UHFFFAOYSA-N,Vanillylmandelic acid,Tyrosine metabolism
IK_CGVOQSQIYSUXAT-PPLFXBRHSA-N,SM(d18:0/16:1(9Z)),Sphingolipid metabolism
IK_CIKGWCTVFSRMJU-KVQBGUIXSA-N,DGDP,Purine metabolism
IK_CJGVDSGIQZDLDO-BMYWYRRPSA-N,3-O-Sulfogalactosylceramide (d18:1/16:0),Sphingolipid metabolism
IK_CKLJMWTZIZZHCS-REOHCLBHSA-N,L-Aspartic Acid,Arginine biosynthesis
IK_CKTSBUTUHBMZGZ-SHYZEUOFSA-N,Deoxycytidine,Pyrimidine metabolism
IK_COCMFMBNEAMQMA-VGKGADPCSA-N,"3a,6b,7a,12a-Tetrahydroxy-5b-cholanoic acid",Fructose and mannose metabolism
IK_COCNDHOPIHDTHK-UHFFFAOYSA-N,Methoxyindoleacetic acid,Tryptophan metabolism
IK_COJBGNAUUSNXHX-UHFFFAOYSA-N,2-Keto-glutaramic acid,"Alanine, aspartate and glutamate metabolism"
IK_COLNVLDHVKWLRT-QMMMGPOBSA-N,L-Phenylalanine,"Phenylalanine, tyrosine and tryptophan biosynthesis"
IK_COLNVLDHVKWLRT-UHFFFAOYNA-N,Phenylalanine,"Phenylalanine, tyrosine and tryptophan biosynthesis"
IK_CQOQDQWUFQDJMK-SSTWWWIQSA-N,2-methoxyestradiol (2-ME2),Steroid hormone biosynthesis
IK_CVSVTCORWBXHQV-UHFFFAOYSA-N,Creatine,Arginine and proline metabolism
IK_CZMRCDWAGMRECN-UGDNZRGBSA-N,Sucrose,Starch and sucrose metabolism
IK_CZOSTDZGCCEZTJ-WMHOIYFHSA-N,PE 16:0_16::1,Glycerophospholipid metabolism
IK_CZWCKYRVOZZJNM-USOAJAOKSA-N,dehydroepiandrosterone sulfate,Steroid hormone biosynthesis
IK_DCXYFEDJOCDNAF-REOHCLBHSA-N,L-Asparagine,"Alanine, aspartate and glutamate metabolism"
IK_DDUHZTYCFQRHIY-UHFFFAOYSA-N,Gris-PEG,One carbon pool by folate
IK_DFELABABMXOKTD-IYFIADHGSA-N,GlcCer(d18:1/20:0),Sphingolipid metabolism
IK_DFPAKSUCGFBDDF-UHFFFAOYSA-N,Nicotinamide,Nicotinate and nicotinamide metabolism
IK_DGBYUHHIADYUMU-UESLNCBNSA-N,GPCho(15:0/18:2),Linoleic acid metabolism
IK_DHMQDGOQFOQNFH-UHFFFAOYSA-N,Glycine,"Glycine, serine and threonine metabolism"
IK_DIJBBUIOWGGQOP-QGVNFLHTSA-N,Pregnenolone sulfate,Steroid hormone biosynthesis
IK_DILDHNKDVHLEQB-XSSYPUMDSA-N,2-hydroxyestradiol (2-OH-E2),Steroid hormone biosynthesis
IK_DIVQKHQLANKJQO-UHFFFAOYSA-N,3-Methoxytyramine,Tyrosine metabolism
IK_DLQYHMAWCJLUJE-DLZQOPQVSA-N,Maltose B,Starch and sucrose metabolism
IK_DLRVVLDZNNYCBX-ABXHMFFYSA-N,Melibiose,Galactose metabolism
IK_DLZPSAPMHALIOA-YNCVDBFYSA-N,GPCho(20:0/18:3),Linoleic acid metabolism
IK_DNPZYIPMAWRQQE-BVILWSOJSA-N,"(+/-)-11,12-Dihydroxy-5Z,8Z,14Z,17Z-eicosatetraenoic acid",Arachidonic acid metabolism
IK_DNXHEGUUPJUMQT-CBZIJGRNSA-N,estron (E1),Steroid hormone biosynthesis
IK_DPEYXLDDNACOGV-ANVMUZGGSA-N,"PC(18:1(11Z)/18:3(9Z,12Z,15Z))",Linoleic acid metabolism
IK_DRBBFCLWYRJSJZ-UHFFFAOYSA-N,Phosphocreatine,Arginine and proline metabolism
IK_DRIVXEVMDWCWLI-CAQMIEAISA-N,"PE(16:0/20:4(5Z,8Z,11Z,14Z))",Glycerophospholipid metabolism
IK_DRTQHJPVMGBUCF-XVFCMESISA-N,Uridine,Pyrimidine metabolism
IK_DSLZVSRJTYRBFB-LLEIAEIESA-N,saccharic acid,Ascorbate and aldarate metabolism
IK_DTBNBXWJWCWCIK-UHFFFAOYSA-N,Phosphoenolpyruvate,Citrate cycle (TCA cycle)
IK_DTOSIQBPPRVQHS-PDBXOOCHSA-N,Linolenic Acid,Biosynthesis of unsaturated fatty acids
IK_DTUQWGWMVIHBKE-UHFFFAOYSA-N,Phenylacetaldehyde,Phenylalanine metabolism
IK_DUQDVNACTOXOJA-KTKXOIIHSA-N,PE 36:4,Glycerophospholipid metabolism
IK_DUUGKQCEGZLZNO-UHFFFAOYSA-N,5-Hydroxyindole-3-acetic acid,Tryptophan metabolism
